tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,BARDET Lilian,POLANSKY Tomas,3,0,"11,12,11|9,10,7",R32,OLYMPICS,U21MS,884,Main Draw,POLANSKY Tomas (CZE),BARDET Lilian (FRA),BARDET Lilian
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,KOZUL Deni,MLADIN Paul,3,1,"11,11,9,11|6,2,11,9",R32,OLYMPICS,U21MS,884,Main Draw,MLADIN Paul (ROU),KOZUL Deni (SLO),KOZUL Deni
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,JARVIS Tom,PAULIN Erik,3,0,"11,11,11|3,3,5",R32,OLYMPICS,U21MS,884,Main Draw,JARVIS Tom (ENG),PAULIN Erik (SLO),JARVIS Tom
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,BERTRAND Irvin,MATSUYAMA Yuki,3,2,"7,11,11,8,11|11,8,3,11,7",R32,OLYMPICS,U21MS,884,Main Draw,BERTRAND Irvin (FRA),MATSUYAMA Yuki (JPN),BERTRAND Irvin
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,BADOWSKI Marek,EVANS Callum,3,0,"13,11,12|11,6,10",R32,OLYMPICS,U21MS,884,Main Draw,BADOWSKI Marek (POL),EVANS Callum (WAL),BADOWSKI Marek
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,FENG Yi-Hsin,AFANADOR Brian,3,0,"11,11,11|7,9,4",R32,OLYMPICS,U21MS,884,Main Draw,FENG Yi-Hsin (TPE),AFANADOR Brian (PUR),FENG Yi-Hsin
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,CNUDDE Florian,IVONIN Denis,3,2,"12,5,8,11,11|10,11,11,5,7",R32,OLYMPICS,U21MS,884,Main Draw,IVONIN Denis (RUS),CNUDDE Florian (BEL),CNUDDE Florian
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,PLETEA Cristian,MENAND Remi,3,1,"13,11,11,11|15,4,7,8",R32,OLYMPICS,U21MS,884,Main Draw,MENAND Remi (FRA),PLETEA Cristian (ROU),PLETEA Cristian
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,LEVENKO Andreas,KOVACS Sebestyen,3,2,"11,12,8,10,11|9,10,11,12,7",R32,OLYMPICS,U21MS,884,Main Draw,LEVENKO Andreas (AUT),KOVACS Sebestyen (HUN),LEVENKO Andreas
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,LIND Anders,FRIIS Martin,3,1,"11,12,6,11|3,10,11,5",R32,OLYMPICS,U21MS,884,Main Draw,FRIIS Martin (SWE),LIND Anders (DEN),LIND Anders
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,REMBERT Bastien,KLEIN Dennis,3,1,"12,7,12,13|10,11,10,11",R32,OLYMPICS,U21MS,884,Main Draw,KLEIN Dennis (GER),REMBERT Bastien (FRA),REMBERT Bastien
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,ZATOWKA Patryk,GRININGER Thomas,3,2,"13,13,9,10,11|11,11,11,12,7",R32,OLYMPICS,U21MS,884,Main Draw,GRININGER Thomas (AUT),ZATOWKA Patryk (POL),ZATOWKA Patryk
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,MAJOROS Bence,KOTOWSKI Tomasz,3,1,"10,11,11,11|12,3,8,4",R32,OLYMPICS,U21MS,884,Main Draw,MAJOROS Bence (HUN),KOTOWSKI Tomasz (POL),MAJOROS Bence
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,NIKULIN Ivan,SODERLUND Simon,3,1,"8,11,11,11|11,9,9,6",R32,OLYMPICS,U21MS,884,Main Draw,SODERLUND Simon (SWE),NIKULIN Ivan (RUS),NIKULIN Ivan
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,TSUBOI Yuma,CHEN Shuainan,3,2,"11,11,7,11,11|13,5,11,5,4",R32,OLYMPICS,U21MS,884,Main Draw,TSUBOI Yuma (JPN),CHEN Shuainan (ITA),TSUBOI Yuma
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,DE NODREST Leo,JORGIC Darko,3,2,"7,11,12,10,11|11,9,10,12,5",R32,OLYMPICS,U21MS,884,Main Draw,DE NODREST Leo (FRA),JORGIC Darko (SLO),DE NODREST Leo
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,KOZUL Deni,BARDET Lilian,3,0,"11,11,12|4,7,10",R16,OLYMPICS,U21MS,884,Main Draw,BARDET Lilian (FRA),KOZUL Deni (SLO),KOZUL Deni
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,BERTRAND Irvin,JARVIS Tom,3,2,"9,11,11,9,12|11,1,9,11,10",R16,OLYMPICS,U21MS,884,Main Draw,JARVIS Tom (ENG),BERTRAND Irvin (FRA),BERTRAND Irvin
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,BADOWSKI Marek,FENG Yi-Hsin,3,1,"9,12,11,11|11,10,7,9",R16,OLYMPICS,U21MS,884,Main Draw,BADOWSKI Marek (POL),FENG Yi-Hsin (TPE),BADOWSKI Marek
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,PLETEA Cristian,CNUDDE Florian,3,2,"11,10,11,10,11|5,12,9,12,8",R16,OLYMPICS,U21MS,884,Main Draw,CNUDDE Florian (BEL),PLETEA Cristian (ROU),PLETEA Cristian
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,LIND Anders,LEVENKO Andreas,3,2,"11,11,10,10,11|7,9,12,12,5",R16,OLYMPICS,U21MS,884,Main Draw,LEVENKO Andreas (AUT),LIND Anders (DEN),LIND Anders
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,REMBERT Bastien,ZATOWKA Patryk,3,0,"12,11,11|10,4,7",R16,OLYMPICS,U21MS,884,Main Draw,REMBERT Bastien (FRA),ZATOWKA Patryk (POL),REMBERT Bastien
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,MAJOROS Bence,NIKULIN Ivan,3,1,"12,6,11,11|10,11,3,7",R16,OLYMPICS,U21MS,884,Main Draw,MAJOROS Bence (HUN),NIKULIN Ivan (RUS),MAJOROS Bence
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,DE NODREST Leo,TSUBOI Yuma,3,1,"11,6,11,11|8,11,8,5",R16,OLYMPICS,U21MS,884,Main Draw,TSUBOI Yuma (JPN),DE NODREST Leo (FRA),DE NODREST Leo
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,BERTRAND Irvin,KOZUL Deni,3,0,"11,11,11|5,6,3",QF,OLYMPICS,U21MS,884,Main Draw,KOZUL Deni (SLO),BERTRAND Irvin (FRA),BERTRAND Irvin
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,PLETEA Cristian,BADOWSKI Marek,3,2,"10,7,11,13,11|12,11,9,11,6",QF,OLYMPICS,U21MS,884,Main Draw,BADOWSKI Marek (POL),PLETEA Cristian (ROU),PLETEA Cristian
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,LIND Anders,REMBERT Bastien,3,0,"11,11,11|4,9,5",QF,OLYMPICS,U21MS,884,Main Draw,LIND Anders (DEN),REMBERT Bastien (FRA),LIND Anders
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,MAJOROS Bence,DE NODREST Leo,3,2,"11,9,6,11,11|8,11,11,4,9",QF,OLYMPICS,U21MS,884,Main Draw,MAJOROS Bence (HUN),DE NODREST Leo (FRA),MAJOROS Bence
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,PLETEA Cristian,BERTRAND Irvin,3,2,"9,11,8,11,11|11,8,11,9,9",SF,OLYMPICS,U21MS,884,Main Draw,BERTRAND Irvin (FRA),PLETEA Cristian (ROU),PLETEA Cristian
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,MAJOROS Bence,LIND Anders,3,0,"11,11,11|8,2,6",SF,OLYMPICS,U21MS,884,Main Draw,LIND Anders (DEN),MAJOROS Bence (HUN),MAJOROS Bence
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,MAJOROS Bence,PLETEA Cristian,3,1,"11,9,12,11|9,11,10,9",F,OLYMPICS,U21MS,884,Main Draw,PLETEA Cristian (ROU),MAJOROS Bence (HUN),MAJOROS Bence
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,SOO Wai Yam,PAULIN Lea,3,0,"11,11,11|4,4,5",R32,OLYMPICS,U21WS,884,Main Draw,SOO Wai Yam (HKG),PAULIN Lea (SLO),SOO Wai Yam
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,TOFANT Ana,LIU Qi,3,0,"11,11,11|7,9,4",R32,OLYMPICS,U21WS,884,Main Draw,LIU Qi (HKG),TOFANT Ana (SLO),TOFANT Ana
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,YOON Hyobin,MISCHEK-COLUCCI Karoline,3,1,"13,11,10,11|11,8,12,5",R32,OLYMPICS,U21WS,884,Main Draw,MISCHEK-COLUCCI Karoline (AUT),YOON Hyobin (KOR),YOON Hyobin
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,NAGASAKI Miyu,REUST Celine,3,0,"11,11,11|1,6,6",R32,OLYMPICS,U21WS,884,Main Draw,REUST Celine (SUI),NAGASAKI Miyu (JPN),NAGASAKI Miyu
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,TAKAHASHI Bruna,CAKOL Klara,3,1,"11,11,9,11|1,8,11,2",R32,OLYMPICS,U21WS,884,Main Draw,TAKAHASHI Bruna (BRA),CAKOL Klara (CRO),TAKAHASHI Bruna
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,LUPULESKU Izabela,SU Pei-Ling,3,1,"11,11,6,11|8,8,11,2",R32,OLYMPICS,U21WS,884,Main Draw,SU Pei-Ling (TPE),LUPULESKU Izabela (SRB),LUPULESKU Izabela
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,MOSCONI Veronica,PETROVOVA Nikita,3,1,"7,11,11,13|11,4,8,11",R32,OLYMPICS,U21WS,884,Main Draw,MOSCONI Veronica (ITA),PETROVOVA Nikita (CZE),MOSCONI Veronica
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,KIHARA Miyuu,FEHER Orsolya,3,0,"12,11,11|10,2,4",R32,OLYMPICS,U21WS,884,Main Draw,FEHER Orsolya (HUN),KIHARA Miyuu (JPN),KIHARA Miyuu
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,SHIOMI Maki,SREBRNJAK Dorina,3,0,"11,13,11|8,11,5",R32,OLYMPICS,U21WS,884,Main Draw,SHIOMI Maki (JPN),SREBRNJAK Dorina (CRO),SHIOMI Maki
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,ZHU Chengzhu,KIM Regina,3,0,"11,11,11|7,4,3",R32,OLYMPICS,U21WS,884,Main Draw,KIM Regina (UZB),ZHU Chengzhu (HKG),ZHU Chengzhu
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,SOMA Yumeno,DRAGOMAN Andreea,3,0,"11,11,11|6,9,5",R32,OLYMPICS,U21WS,884,Main Draw,DRAGOMAN Andreea (ROU),SOMA Yumeno (JPN),SOMA Yumeno
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,DIAZ Adriana,VIGNJEVIC Dragana,3,0,"11,11,14|8,7,12",R32,OLYMPICS,U21WS,884,Main Draw,VIGNJEVIC Dragana (SRB),DIAZ Adriana (PUR),DIAZ Adriana
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,LI Yu-Jhun,LAURENTI Jamila,3,0,"11,11,11|4,8,5",R32,OLYMPICS,U21WS,884,Main Draw,LI Yu-Jhun (TPE),LAURENTI Jamila (ITA),LI Yu-Jhun
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,KIM Youjin,KOLISH Anastasia,3,0,"11,11,11|3,7,9",R32,OLYMPICS,U21WS,884,Main Draw,KIM Youjin (KOR),KOLISH Anastasia (RUS),KIM Youjin
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,ODO Satsuki,MEYER Sarah,3,0,"11,11,11|5,6,7",R32,OLYMPICS,U21WS,884,Main Draw,ODO Satsuki (JPN),MEYER Sarah (LUX),ODO Satsuki
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,SHIBATA Saki,ZAHARIA Alina,3,0,"11,11,11|8,7,7",R32,OLYMPICS,U21WS,884,Main Draw,ZAHARIA Alina (ROU),SHIBATA Saki (JPN),SHIBATA Saki
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,SOO Wai Yam,TOFANT Ana,3,0,"11,11,11|2,6,8",R16,OLYMPICS,U21WS,884,Main Draw,SOO Wai Yam (HKG),TOFANT Ana (SLO),SOO Wai Yam
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,NAGASAKI Miyu,YOON Hyobin,3,0,"11,11,14|9,7,12",R16,OLYMPICS,U21WS,884,Main Draw,YOON Hyobin (KOR),NAGASAKI Miyu (JPN),NAGASAKI Miyu
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,TAKAHASHI Bruna,LUPULESKU Izabela,3,1,"11,12,9,11|9,10,11,7",R16,OLYMPICS,U21WS,884,Main Draw,TAKAHASHI Bruna (BRA),LUPULESKU Izabela (SRB),TAKAHASHI Bruna
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,KIHARA Miyuu,MOSCONI Veronica,3,0,"11,11,11|3,5,3",R16,OLYMPICS,U21WS,884,Main Draw,MOSCONI Veronica (ITA),KIHARA Miyuu (JPN),KIHARA Miyuu
ITTF Challenge Slovenian Open Otocec 2018,2018-04-04,ZHU Chengzhu,SHIOMI Maki,3,1,"4,11,12,11|11,6,10,4",R16,OLYMPICS,U21WS,884,Main Draw,SHIOMI Maki (JPN),ZHU Chengzhu (HKG),ZHU Chengzhu
