tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Table Tennis Championships Budapest 2019,2019-04-21,FAN Zhendong/DING Ning,ECSEKI Nandor/MADARASZ Dora,4,1,"11,11,5,11,11|1,7,11,6,5",R64,WORLD_CHAMPIONSHIPS,XD,1987,Main Draw,FAN Zhendong (CHN) / DING Ning (CHN),ECSEKI Nandor (HUN) / MADARASZ Dora (HUN),FAN Zhendong
World Table Tennis Championships Budapest 2019,2019-04-21,WONG Chun Ting/DOO Hoi Kem,PLETEA Cristian/SAMARA Elizabeta,4,0,"11,11,11,11|3,5,4,5",R64,WORLD_CHAMPIONSHIPS,XD,1987,Main Draw,WONG Chun Ting (HKG) / DOO Hoi Kem (HKG),PLETEA Cristian (ROU) / SAMARA Elizabeta (ROU),WONG Chun Ting
World Table Tennis Championships Budapest 2019,2019-04-21,MORIZONO Masataka/ITO Mima,TESHABOEV Kutbidillo/KHADJIEVA Rozalina,4,0,"11,11,11,11|1,2,4,5",R64,WORLD_CHAMPIONSHIPS,XD,1987,Main Draw,MORIZONO Masataka (JPN) / ITO Mima (JPN),TESHABOEV Kutbidillo (UZB) / KHADJIEVA Rozalina (UZB),MORIZONO Masataka
World Table Tennis Championships Budapest 2019,2019-04-21,FLORE Tristan/GASNIER Laura,AN Ji Song/KIM Nam Hae,4,3,"12,10,11,14,9,4,11|10,12,9,12,11,11,6",R64,WORLD_CHAMPIONSHIPS,XD,1987,Main Draw,FLORE Tristan (FRA) / GASNIER Laura (FRA),AN Ji Song (PRK) / KIM Nam Hae (PRK),FLORE Tristan
World Table Tennis Championships Budapest 2019,2019-04-21,KARLSSON Mattias/EKHOLM Matilda,TSUBOI Gustavo/TAKAHASHI Bruna,4,1,"11,11,3,11,13|4,7,11,9,11",R64,WORLD_CHAMPIONSHIPS,XD,1987,Main Draw,KARLSSON Mattias (SWE) / EKHOLM Matilda (SWE),TSUBOI Gustavo (BRA) / TAKAHASHI Bruna (BRA),KARLSSON Mattias
World Table Tennis Championships Budapest 2019,2019-04-21,XU Xin/LIU Shiwen,MLADENOVIC Luka/NI Xia Lian,4,0,"11,11,11,11|6,4,4,2",R64,WORLD_CHAMPIONSHIPS,XD,1987,Main Draw,XU Xin (CHN) / LIU Shiwen (CHN),MLADENOVIC Luka (LUX) / NI Xia Lian (LUX),XU Xin
World Table Tennis Championships Budapest 2019,2019-04-21,MAJOROS Bence/BALINT Bernadett,KARAKASEVIC Aleksandar/LUPULESKU Izabela,4,3,"6,11,12,11,6,10,11|11,9,10,8,11,12,9",R64,WORLD_CHAMPIONSHIPS,XD,1987,Main Draw,MAJOROS Bence (HUN) / BALINT Bernadett (HUN),KARAKASEVIC Aleksandar (SRB) / LUPULESKU Izabela (SRB),MAJOROS Bence
World Table Tennis Championships Budapest 2019,2019-04-21,YOSHIMURA Maharu/ISHIKAWA Kasumi,WEBER Lionel/MORET Rachel,4,1,"9,12,11,11,11|11,10,4,8,7",R64,WORLD_CHAMPIONSHIPS,XD,1987,Main Draw,YOSHIMURA Maharu (JPN) / ISHIKAWA Kasumi (JPN),WEBER Lionel (SUI) / MORET Rachel (SUI),YOSHIMURA Maharu
World Table Tennis Championships Budapest 2019,2019-04-21,LEE Sang Su/JEON Jihee,PLATONOV Pavel/BOGDANOVA Nadezhda,4,0,"11,13,11,11|8,11,4,7",R64,WORLD_CHAMPIONSHIPS,XD,1987,Main Draw,LEE Sang Su (KOR) / JEON Jihee (KOR),PLATONOV Pavel (BLR) / BOGDANOVA Nadezhda (BLR),LEE Sang Su
World Table Tennis Championships Budapest 2019,2019-04-21,CHEW Clarence/LIN Ye,TOWNSEND Kane/BROMLEY Michelle,4,1,"11,11,11,7,11|2,8,6,11,4",R64,WORLD_CHAMPIONSHIPS,XD,1987,Main Draw,CHEW Clarence (SGP) / LIN Ye (CAN),TOWNSEND Kane (AUS) / BROMLEY Michelle (AUS),CHEW Clarence
World Table Tennis Championships Budapest 2019,2019-04-21,GNANASEKARAN Sathiyan/KAMATH Archana,TROMER Laurens/EERLAND Britt,4,0,"11,14,11,11|8,12,9,3",R64,WORLD_CHAMPIONSHIPS,XD,1987,Main Draw,GNANASEKARAN Sathiyan (IND) / KAMATH Archana (IND),TROMER Laurens (NED) / EERLAND Britt (NED),GNANASEKARAN Sathiyan
World Table Tennis Championships Budapest 2019,2019-04-21,ROBLES Alvaro/DVORAK Galia,BOBOCICA Mihai/VIVARELLI Debora,4,2,"13,8,12,2,11,11|11,11,10,11,6,8",R64,WORLD_CHAMPIONSHIPS,XD,1987,Main Draw,ROBLES Alvaro (ESP) / DVORAK Galia (ESP),BOBOCICA Mihai (ITA) / VIVARELLI Debora (ITA),ROBLES Alvaro
World Table Tennis Championships Budapest 2019,2019-04-21,IONESCU Ovidiu/SZOCS Bernadette,PENG Wang-Wei/CHENG Hsien-Tzu,4,0,"11,12,11,11|3,10,8,8",R64,WORLD_CHAMPIONSHIPS,XD,1987,Main Draw,IONESCU Ovidiu (ROU) / SZOCS Bernadette (ROU),PENG Wang-Wei (TPE) / CHENG Hsien-Tzu (TPE),IONESCU Ovidiu
World Table Tennis Championships Budapest 2019,2019-04-21,SHIBAEV Alexander/MIKHAILOVA Polina,GLOD Eric/DE NUTTE Sarah,4,0,"11,11,11,11|5,9,5,5",R64,WORLD_CHAMPIONSHIPS,XD,1987,Main Draw,SHIBAEV Alexander (RUS) / MIKHAILOVA Polina (RUS),GLOD Eric (LUX) / DE NUTTE Sarah (LUX),SHIBAEV Alexander
World Table Tennis Championships Budapest 2019,2019-04-21,POLANSKY Tomas/MATELOVA Hana,HU Heming/TAPPER Melissa,4,3,"8,11,11,10,11,9,11|11,9,7,12,7,11,6",R64,WORLD_CHAMPIONSHIPS,XD,1987,Main Draw,POLANSKY Tomas (CZE) / MATELOVA Hana (CZE),HU Heming (AUS) / TAPPER Melissa (AUS),POLANSKY Tomas
World Table Tennis Championships Budapest 2019,2019-04-21,BADOWSKI Marek/BAJOR Natalia,ACHANTA Sharath/BATRA Manika,4,1,"12,11,11,11,11|14,6,5,6,3",R64,WORLD_CHAMPIONSHIPS,XD,1987,Main Draw,BADOWSKI Marek (POL) / BAJOR Natalia (POL),ACHANTA Sharath (IND) / BATRA Manika (IND),BADOWSKI Marek
World Table Tennis Championships Budapest 2019,2019-04-21,ZHMUDENKO Yaroslav/YAREMCHUK Solomiya,ASSAR Omar/MESHREF Dina,4,3,"3,7,11,11,11,11,11|11,11,7,9,13,5,7",R64,WORLD_CHAMPIONSHIPS,XD,1987,Main Draw,ZHMUDENKO Yaroslav (UKR) / YAREMCHUK Solomiya (UKR),ASSAR Omar (EGY) / MESHREF Dina (EGY),ZHMUDENKO Yaroslav
World Table Tennis Championships Budapest 2019,2019-04-21,YIGENLER Abdullah/YILMAZ Ozge,TORIOLA Segun/OSHONAIKE Olufunke,4,3,"11,11,13,10,6,8,11|8,6,11,12,11,11,4",R64,WORLD_CHAMPIONSHIPS,XD,1987,Main Draw,YIGENLER Abdullah (TUR) / YILMAZ Ozge (TUR),TORIOLA Segun (NGR) / OSHONAIKE Olufunke (NGR),YIGENLER Abdullah
World Table Tennis Championships Budapest 2019,2019-04-21,MADRID Marcos/SILVA Yadira,ASSAR Khalid/HELMY Yousra,4,0,"11,11,11,11|8,5,9,6",R64,WORLD_CHAMPIONSHIPS,XD,1987,Main Draw,MADRID Marcos (MEX) / SILVA Yadira (MEX),ASSAR Khalid (EGY) / HELMY Yousra (EGY),MADRID Marcos
World Table Tennis Championships Budapest 2019,2019-04-21,JANG Woojin/CHOI Hyojoo,LAMADRID Juan/VEGA Paulina,4,0,"11,11,11,11|7,8,6,8",R64,WORLD_CHAMPIONSHIPS,XD,1987,Main Draw,JANG Woojin (KOR) / CHOI Hyojoo (KOR),LAMADRID Juan (CHI) / VEGA Paulina (CHI),JANG Woojin
World Table Tennis Championships Budapest 2019,2019-04-21,FRANZISKA Patrick/SOLJA Petrissa,IVONIN Denis/NOSKOVA Yana,4,0,"11,14,11,11|7,12,8,7",R64,WORLD_CHAMPIONSHIPS,XD,1987,Main Draw,FRANZISKA Patrick (GER) / SOLJA Petrissa (GER),IVONIN Denis (RUS) / NOSKOVA Yana (RUS),FRANZISKA Patrick
World Table Tennis Championships Budapest 2019,2019-04-21,KALUZNY Samuel/KUKULKOVA Tatiana,ALTO Gaston/CODINA Ana,4,2,"13,11,10,11,9,11|11,9,12,6,11,6",R64,WORLD_CHAMPIONSHIPS,XD,1987,Main Draw,KALUZNY Samuel (SVK) / KUKULKOVA Tatiana (SVK),ALTO Gaston (ARG) / CODINA Ana (ARG),KALUZNY Samuel
World Table Tennis Championships Budapest 2019,2019-04-21,TANVIRIYAVECHAKUL Padasak/SAWETTABUT Suthasini,CIFUENTES Horacio/ARGUELLES Camila,4,2,"11,11,7,10,11,11|5,9,11,12,5,3",R64,WORLD_CHAMPIONSHIPS,XD,1987,Main Draw,TANVIRIYAVECHAKUL Padasak (THA) / SAWETTABUT Suthasini (THA),CIFUENTES Horacio (ARG) / ARGUELLES Camila (ARG),TANVIRIYAVECHAKUL Padasak
World Table Tennis Championships Budapest 2019,2019-04-21,LIN Yun-Ju/CHENG I-Ching,PETO Zsolt/TODOROVIC Andrea,4,0,"11,11,11,11|7,5,4,8",R64,WORLD_CHAMPIONSHIPS,XD,1987,Main Draw,LIN Yun-Ju (TPE) / CHENG I-Ching (TPE),PETO Zsolt (SRB) / TODOROVIC Andrea (SRB),LIN Yun-Ju
