tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,ARAPOVIC Hana,CODINA Ana,3,1,"8,11,11,11|11,9,5,5",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,ARAPOVIC Hana (CRO),CODINA Ana (ARG),ARAPOVIC Hana
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,RAKOVAC Lea,ARGUELLES Camila,3,0,"12,11,11|10,8,2",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,RAKOVAC Lea (CRO),ARGUELLES Camila (ARG),RAKOVAC Lea
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,MALOBABIC Ivana,MARCIAL Alma,3,0,"11,13,11|3,11,5",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,MALOBABIC Ivana (CRO),MARCIAL Alma (ARG),MALOBABIC Ivana
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,DOO Hoi Kem,EERLAND Britt,3,1,"11,11,8,14|4,8,11,12",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,DOO Hoi Kem (HKG),EERLAND Britt (NED),DOO Hoi Kem
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,LI Jie,SU Tsz Tung,3,0,"11,11,11|8,5,9",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,LI Jie (NED),SU Tsz Tung (HKG),LI Jie
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,NG Wing Lam,MEN Shuohan,3,0,"13,11,11|11,9,8",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,NG Wing Lam (HKG),MEN Shuohan (NED),NG Wing Lam
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,DOO Hoi Kem,LI Jie,3,0,"11,13,11|6,11,9",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,DOO Hoi Kem (HKG),LI Jie (NED),DOO Hoi Kem
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,BARCENAS Clio,LEONG On Na,3,0,"11,11,11|6,5,6",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,BARCENAS Clio (MEX),LEONG On Na (MAC),BARCENAS Clio
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,COSSIO Arantxa,SEAK Hui Li,3,0,"11,11,11|3,4,4",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,COSSIO Arantxa (MEX),SEAK Hui Li (MAC),COSSIO Arantxa
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,MUNOZ Monica,CHEONG Chi Hun,3,2,"4,1,11,12,11|11,11,7,10,5",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,MUNOZ Monica (MEX),CHEONG Chi Hun (MAC),MUNOZ Monica
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,GODA Hana,PATEL Danisha,3,0,"11,11,11|2,3,3",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,GODA Hana (EGY),PATEL Danisha (RSA),GODA Hana
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,MESHREF Dina,SONDAY Rochica,3,1,"11,11,8,11|4,3,11,9",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,MESHREF Dina (EGY),SONDAY Rochica (RSA),MESHREF Dina
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,BADAWY Farida,SASMAN Jade,3,0,"11,11,11|5,3,3",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,BADAWY Farida (EGY),SASMAN Jade (RSA),BADAWY Farida
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,VAN HAUWAERT Julie,NASRI Malissa,3,1,"11,11,6,11|6,4,11,3",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,VAN HAUWAERT Julie (BEL),NASRI Malissa (ALG),VAN HAUWAERT Julie
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,MASSART Lilou,MORICE Tania,3,0,"11,11,11|9,9,7",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,MASSART Lilou (BEL),MORICE Tania (ALG),MASSART Lilou
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,DEGRAEF Margo,MORICE Jade,3,1,"11,11,7,11|6,6,11,8",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,DEGRAEF Margo (BEL),MORICE Jade (ALG),DEGRAEF Margo
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,RAKOTOARIMANANA Fabio,MYANDAL Temuulen,3,1,"11,10,11,11|9,12,7,9",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,RAKOTOARIMANANA Fabio (MAD),MYANDAL Temuulen (MGL),RAKOTOARIMANANA Fabio
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,RAZAFINARIVO Antoine,MUNKH-OCHIR Manlaijargal,3,0,"11,11,11|7,6,4",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,RAZAFINARIVO Antoine (MAD),MUNKH-OCHIR Manlaijargal (MGL),RAZAFINARIVO Antoine
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,BILGUUN Ankhbayar,RAKOTOARISOA Mamy,3,0,"11,12,11|6,10,2",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,BILGUUN Ankhbayar (MGL),RAKOTOARISOA Mamy (MAD),BILGUUN Ankhbayar
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,MYANDAL Temuulen,RAZAFINARIVO Antoine,3,1,"11,10,11,12|9,12,9,10",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,MYANDAL Temuulen (MGL),RAZAFINARIVO Antoine (MAD),MYANDAL Temuulen
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,RAKOTOARIMANANA Fabio,MUNKH-OCHIR Manlaijargal,3,0,"13,13,12|11,11,10",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,RAKOTOARIMANANA Fabio (MAD),MUNKH-OCHIR Manlaijargal (MGL),RAKOTOARIMANANA Fabio
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,MONFARDINI Gaia,ALTINKAYA Sibel,3,0,"11,11,11|1,6,9",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,MONFARDINI Gaia (ITA),ALTINKAYA Sibel (TUR),MONFARDINI Gaia
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,PICCOLIN Giorgia,HARAC Ece,3,0,"11,11,11|9,7,7",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,PICCOLIN Giorgia (ITA),HARAC Ece (TUR),PICCOLIN Giorgia
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,ARLIA Nicole,YILMAZ Ozge,3,1,"11,8,11,11|7,11,9,6",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,ARLIA Nicole (ITA),YILMAZ Ozge (TUR),ARLIA Nicole
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,LIND Anders,CASTRO Rogelio,3,1,"11,11,4,12|9,8,11,10",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,LIND Anders (DEN),CASTRO Rogelio (MEX),LIND Anders
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,GROTH Jonathan,ARCE Dario,3,1,"11,12,9,11|4,10,11,7",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,GROTH Jonathan (DEN),ARCE Dario (MEX),GROTH Jonathan
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,RASMUSSEN Tobias,MADRID Marcos,3,0,"11,11,12|8,5,10",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,RASMUSSEN Tobias (DEN),MADRID Marcos (MEX),RASMUSSEN Tobias
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,POLCANOVA Sofia,ALBINO Isabel,3,0,"11,11,11|2,1,1",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,POLCANOVA Sofia (AUT),ALBINO Isabel (ANG),POLCANOVA Sofia
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,MISCHEK-COLUCCI Karoline,SOUSA Kailane,3,0,"11,11,11|2,6,1",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,MISCHEK-COLUCCI Karoline (AUT),SOUSA Kailane (ANG),MISCHEK-COLUCCI Karoline
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,SKERBINZ Nina,TAVARES Ruth,3,0,"11,11,11|3,4,5",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,SKERBINZ Nina (AUT),TAVARES Ruth (ANG),SKERBINZ Nina
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,PESOTSKA Margaryta,HIRWA Chantal,3,0,"11,11,11|1,0,3",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,PESOTSKA Margaryta (UKR),HIRWA Chantal (RWA),PESOTSKA Margaryta
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,BILENKO Tetyana,TUMUKUNDE Elevine,3,0,"11,11,11|2,5,2",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,BILENKO Tetyana (UKR),TUMUKUNDE Elevine (RWA),BILENKO Tetyana
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,MATIUNINA Veronika,TWIZERANE Mbabazi,3,0,"11,11,11|1,2,5",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,MATIUNINA Veronika (UKR),TWIZERANE Mbabazi (RWA),MATIUNINA Veronika
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,BERGAND Filippa,ZAVALETA Lucia,3,1,"11,8,11,11|6,11,9,4",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,BERGAND Filippa (SWE),ZAVALETA Lucia (CRC),BERGAND Filippa
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,KALLBERG Christina,ARAYA Maria,3,0,"11,11,11|5,5,4",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,KALLBERG Christina (SWE),ARAYA Maria (CRC),KALLBERG Christina
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,BERGSTROM Linda,CASTRO SALAS Victoria Sofia,3,0,"11,11,11|3,2,3",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,BERGSTROM Linda (SWE),CASTRO SALAS Victoria Sofia (CRC),BERGSTROM Linda
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,ZHANG Mo,ALAGIYAWADU Tamadi Kavindya,3,0,"11,11,11|6,0,1",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,ZHANG Mo (CAN),ALAGIYAWADU Tamadi Kavindya (SRI),ZHANG Mo
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,ZHANG Sunny,BANDARA Bimandee,3,0,"11,12,11|7,10,7",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,ZHANG Sunny (CAN),BANDARA Bimandee (SRI),ZHANG Sunny
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,LIAO Ivy,HALAWATHAGE Shamalsha,3,1,"5,11,11,11|11,8,7,4",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,LIAO Ivy (CAN),HALAWATHAGE Shamalsha (SRI),LIAO Ivy
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,TOKIC Sara,SAWETTABUT Suthasini,3,1,"11,12,10,11|6,10,12,6",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,TOKIC Sara (SLO),SAWETTABUT Suthasini (THA),TOKIC Sara
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,PARANANG Orawan,TOFANT Ana,3,1,"11,3,11,11|5,11,8,4",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,PARANANG Orawan (THA),TOFANT Ana (SLO),PARANANG Orawan
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,SAWETTABUT Jinnipa,STRAZAR Katarina,3,2,"7,3,11,11,11|11,11,7,7,4",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,SAWETTABUT Jinnipa (THA),STRAZAR Katarina (SLO),SAWETTABUT Jinnipa
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,PARANANG Orawan,TOKIC Sara,3,2,"12,7,11,11,11|14,11,6,5,6",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,PARANANG Orawan (THA),TOKIC Sara (SLO),PARANANG Orawan
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,LUPULESKU Izabela,YESSOUFOU Madinath,3,0,"11,11,11|2,4,2",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,LUPULESKU Izabela (SRB),YESSOUFOU Madinath (BEN),LUPULESKU Izabela
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,SURJAN Sabina,AKADIRI Ziadath,3,0,"11,11,11|5,2,7",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,SURJAN Sabina (SRB),AKADIRI Ziadath (BEN),SURJAN Sabina
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,MAKSUTI Aneta,AMADJI Stecy,3,0,"11,11,11|5,2,5",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,MAKSUTI Aneta (SRB),AMADJI Stecy (BEN),MAKSUTI Aneta
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,ROBLES Alvaro,KOZUL Deni,3,1,"11,11,9,11|5,5,11,8",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,ROBLES Alvaro (ESP),KOZUL Deni (SLO),ROBLES Alvaro
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,JORGIC Darko,PEREZ Juan,3,0,"13,11,11|11,6,8",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,JORGIC Darko (SLO),PEREZ Juan (ESP),JORGIC Darko
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,BERZOSA Daniel,TOKIC Bojan,3,0,"11,11,12|8,1,10",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,BERZOSA Daniel (ESP),TOKIC Bojan (SLO),BERZOSA Daniel
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,ROBLES Alvaro,JORGIC Darko,3,2,"12,11,12,12,13|10,13,10,14,11",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,ROBLES Alvaro (ESP),JORGIC Darko (SLO),ROBLES Alvaro
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,SIRUCEK Pavel,RASHED Rashed,3,2,"8,9,11,11,11|11,11,4,7,8",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,SIRUCEK Pavel (CZE),RASHED Rashed (BRN),SIRUCEK Pavel
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,KVETON Ondrej,SALEH Mohamed,3,1,"11,14,11,11|8,16,8,8",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,KVETON Ondrej (CZE),SALEH Mohamed (BRN),KVETON Ondrej
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,MORAVEK Radim,ABUHAMDA Salman,3,0,"11,11,12|2,4,10",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,MORAVEK Radim (CZE),ABUHAMDA Salman (BRN),MORAVEK Radim
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,FREITAS Marcos,BRUCHARD Emmanuel,3,0,"11,11,11|2,1,1",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,FREITAS Marcos (POR),BRUCHARD Emmanuel (NCL),FREITAS Marcos
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,APOLONIA Tiago,CLOUET Olivier,3,0,"11,11,11|1,6,1",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,APOLONIA Tiago (POR),CLOUET Olivier (NCL),APOLONIA Tiago
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,GERALDO Joao,MORISSEAU Jerome,3,0,"11,11,11|3,6,0",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,GERALDO Joao (POR),MORISSEAU Jerome (NCL),GERALDO Joao
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,SGOUROPOULOS Ioannis,OUAICHE Stephane,3,0,"11,11,11|9,9,6",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,SGOUROPOULOS Ioannis (GRE),OUAICHE Stephane (ALG),SGOUROPOULOS Ioannis
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,BOULOUSSA Mehdi,GIONIS Panagiotis,3,2,"12,9,11,7,12|10,11,9,11,10",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,BOULOUSSA Mehdi (ALG),GIONIS Panagiotis (GRE),BOULOUSSA Mehdi
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,STAMATOUROS Georgios,JELLOULI Milhane,3,1,"3,11,12,11|11,7,10,8",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,STAMATOUROS Georgios (GRE),JELLOULI Milhane (ALG),STAMATOUROS Georgios
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,GIONIS Panagiotis,OUAICHE Stephane,3,0,"11,11,13|9,4,11",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,GIONIS Panagiotis (GRE),OUAICHE Stephane (ALG),GIONIS Panagiotis
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,SHAH Manush,ESSID Wassim,3,1,"11,9,11,11|5,11,3,5",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,SHAH Manush (IND),ESSID Wassim (TUN),SHAH Manush
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,THAKKAR Manav,AIDLI Youssef,3,0,"11,11,11|3,3,3",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,THAKKAR Manav (IND),AIDLI Youssef (TUN),THAKKAR Manav
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,DESAI Harmeet,BOURASS Aboubaker,3,0,"11,11,11|5,4,8",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,DESAI Harmeet (IND),BOURASS Aboubaker (TUN),DESAI Harmeet
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,PISTEJ Lubomir,MORALES Ian,3,1,"14,11,9,11|12,2,11,4",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,PISTEJ Lubomir (SVK),MORALES Ian (GUA),PISTEJ Lubomir
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,WANG Yang,CARRILLO Sergio,3,0,"11,11,11|7,1,9",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,WANG Yang (SVK),CARRILLO Sergio (GUA),WANG Yang
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,ZELINKA Jakub,CARRILLO TURCIOS Luis Angel,3,0,"11,11,11|9,6,9",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,ZELINKA Jakub (SVK),CARRILLO TURCIOS Luis Angel (GUA),ZELINKA Jakub
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,VAN DESSEL Mael,KOJIC Frane,3,1,"10,11,11,11|12,8,8,8",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,VAN DESSEL Mael (LUX),KOJIC Frane (CRO),VAN DESSEL Mael
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,PUCAR Tomislav,MLADENOVIC Luka,3,1,"11,9,12,11|7,11,10,5",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,PUCAR Tomislav (CRO),MLADENOVIC Luka (LUX),PUCAR Tomislav
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,GACINA Andrej,SAHR Aaron,3,0,"11,11,11|4,9,3",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,GACINA Andrej (CRO),SAHR Aaron (LUX),GACINA Andrej
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,PUCAR Tomislav,VAN DESSEL Mael,3,0,"11,11,11|4,6,8",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,PUCAR Tomislav (CRO),VAN DESSEL Mael (LUX),PUCAR Tomislav
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,LEVAJAC Dimitrije,AL-KUWARI Sultan,3,0,"11,11,15|6,8,13",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,LEVAJAC Dimitrije (SRB),AL-KUWARI Sultan (QAT),LEVAJAC Dimitrije
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,PETO Zsolt,ABDULWAHHAB Mohammed,3,0,"11,11,11|9,9,6",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,PETO Zsolt (SRB),ABDULWAHHAB Mohammed (QAT),PETO Zsolt
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,NINKOVIC Uros,ABDULWAHHAB Abdullah,3,0,"11,11,11|4,7,8",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,NINKOVIC Uros (SRB),ABDULWAHHAB Abdullah (QAT),NINKOVIC Uros
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,IONESCU Eduard,SALIFOU Abdel-Kader,3,0,"11,11,11|9,4,6",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,IONESCU Eduard (ROU),SALIFOU Abdel-Kader (BEN),IONESCU Eduard
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,CHIRITA Iulian,SALIFOU Farouk,3,0,"11,11,11|3,5,1",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,CHIRITA Iulian (ROU),SALIFOU Farouk (BEN),CHIRITA Iulian
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,IONESCU Ovidiu,ADOU Amir Atanda,3,0,"11,11,11|4,9,3",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,IONESCU Ovidiu (ROU),ADOU Amir Atanda (BEN),IONESCU Ovidiu
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,LUU Finn,BENCHAT Marius,3,2,"7,9,11,11,11|11,11,6,7,7",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,LUU Finn (AUS),BENCHAT Marius (MAR),LUU Finn
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,LUM Nicholas,THEOPHILE Yassine,3,0,"11,11,11|4,8,6",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,LUM Nicholas (AUS),THEOPHILE Yassine (MAR),LUM Nicholas
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,SAREEN Aditya,KARAM Salim,3,0,"11,11,11|9,7,1",GROUP,WORLD_CHAMPIONSHIPS,MT,3216,Main Draw,SAREEN Aditya (AUS),KARAM Salim (MAR),SAREEN Aditya
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,LIU Yangzi,KAMALOVA Arujan,3,0,"11,11,11|5,4,5",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,LIU Yangzi (AUS),KAMALOVA Arujan (UZB),LIU Yangzi
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,PSIHOGIOS Constantina,ERKEBAEVA Asel,3,0,"11,11,11|5,6,2",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,PSIHOGIOS Constantina (AUS),ERKEBAEVA Asel (UZB),PSIHOGIOS Constantina
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,KHASANOVA Adelina,WU Jiamuwa,3,1,"11,11,3,11|7,9,11,8",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,KHASANOVA Adelina (UZB),WU Jiamuwa (AUS),KHASANOVA Adelina
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,LIU Yangzi,ERKEBAEVA Asel,3,0,"11,11,11|4,4,6",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,LIU Yangzi (AUS),ERKEBAEVA Asel (UZB),LIU Yangzi
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,KIM Kum Yong,WIELGOS Zuzanna,3,0,"11,11,11|8,5,9",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,KIM Kum Yong (PRK),WIELGOS Zuzanna (POL),KIM Kum Yong
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,PYON Song Gyong,BAJOR Natalia,3,2,"4,11,11,11,11|11,13,7,9,7",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,PYON Song Gyong (PRK),BAJOR Natalia (POL),PYON Song Gyong
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,CHA Su Yong,WEGRZYN Katarzyna,3,2,"6,11,6,11,11|11,6,11,6,7",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,CHA Su Yong (PRK),WEGRZYN Katarzyna (POL),CHA Su Yong
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,DE NUTTE Sarah,CORDERO Lucia,3,0,"11,11,11|7,9,5",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,DE NUTTE Sarah (LUX),CORDERO Lucia (GUA),DE NUTTE Sarah
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,NI Xia Lian,CUX Jenny,3,0,"11,11,11|1,4,2",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,NI Xia Lian (LUX),CUX Jenny (GUA),NI Xia Lian
ITTF World Team Table Tennis Championships Finals London 2026 Presented by ACN,2026-04-28,SADIKOVIC Enisa,MOSCOSO Andrea,3,0,"11,11,11|3,9,4",GROUP,WORLD_CHAMPIONSHIPS,WT,3216,Main Draw,SADIKOVIC Enisa (LUX),MOSCOSO Andrea (GUA),SADIKOVIC Enisa
