tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Table Tennis Championships Suzhou 2015,2015-04-26,MA Long,ALAMIYAN Noshad,4,0,"11,11,11,12|7,1,3,10",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,MA Long (CHN),ALAMIYAN Noshad (IRI)
World Table Tennis Championships Suzhou 2015,2015-04-26,LEBESSON Emmanuel,KARLSSON Mattias,4,2,"11,11,13,11,9,11|9,7,15,6,11,6",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,KARLSSON Mattias (SWE),LEBESSON Emmanuel (FRA)
World Table Tennis Championships Suzhou 2015,2015-04-26,VLASOV Grigory,NUYTINCK Cedric,4,2,"11,7,11,6,11,11|6,11,6,11,2,8",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,VLASOV Grigory (RUS),NUYTINCK Cedric (BEL)
World Table Tennis Championships Suzhou 2015,2015-04-26,GIONIS Panagiotis,PISTEJ Lubomir,4,0,"11,12,11,11|9,10,5,6",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,PISTEJ Lubomir (SVK),GIONIS Panagiotis (GRE)
World Table Tennis Championships Suzhou 2015,2015-04-26,APOLONIA Tiago,ALTO Gaston,4,1,"7,11,11,11,11|11,3,6,6,6",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,APOLONIA Tiago (POR),ALTO Gaston (ARG)
World Table Tennis Championships Suzhou 2015,2015-04-26,PITCHFORD Liam,KREANGA Kalinikos,4,2,"7,11,11,10,11,11|11,5,5,12,7,7",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,KREANGA Kalinikos (GRE),PITCHFORD Liam (ENG)
World Table Tennis Championships Suzhou 2015,2015-04-26,HABESOHN Daniel,ELBEIALI Mohamed,4,1,"7,11,12,11,11|11,9,10,8,7",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,HABESOHN Daniel (AUT),ELBEIALI Mohamed (EGY)
World Table Tennis Championships Suzhou 2015,2015-04-26,JOO Saehyuk,LAKATOS Tamas,4,2,"11,11,11,11,7,11|8,9,13,2,11,3",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,LAKATOS Tamas (HUN),JOO Saehyuk (KOR)
World Table Tennis Championships Suzhou 2015,2015-04-26,TANG Peng,AGUIRRE Marcelo,4,0,"11,11,11,11|5,6,3,6",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,TANG Peng (HKG),AGUIRRE Marcelo (PAR)
World Table Tennis Championships Suzhou 2015,2015-04-26,BOBOCICA Mihai,KOLAREK Tomislav,4,2,"11,10,11,8,11,11|4,12,8,11,5,2",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,KOLAREK Tomislav (CRO),BOBOCICA Mihai (ITA)
World Table Tennis Championships Suzhou 2015,2015-04-26,FEGERL Stefan,BURGIS Matiss,4,0,"13,11,11,11|11,8,3,6",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,FEGERL Stefan (AUT),BURGIS Matiss (LAT)
World Table Tennis Championships Suzhou 2015,2015-04-26,GARDOS Robert,NOROOZI Afshin,4,1,"6,11,11,11,11|11,3,6,8,8",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,NOROOZI Afshin (IRI),GARDOS Robert (AUT)
World Table Tennis Championships Suzhou 2015,2015-04-26,ASSAR Omar,CHEW Clarence,4,2,"11,11,8,8,11,11|6,8,11,11,5,4",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,ASSAR Omar (EGY),CHEW Clarence (SGP)
World Table Tennis Championships Suzhou 2015,2015-04-26,HUANG Sheng-Sheng,TORIOLA Segun,4,3,"11,11,11,9,7,6,11|8,7,1,11,11,11,6",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,TORIOLA Segun (NGR),HUANG Sheng-Sheng (TPE)
World Table Tennis Championships Suzhou 2015,2015-04-26,LEE Sang Su,KENJAEV Zokhid,4,0,"11,11,11,11|1,5,4,7",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,LEE Sang Su (KOR),KENJAEV Zokhid (UZB)
World Table Tennis Championships Suzhou 2015,2015-04-26,OVTCHAROV Dimitrij,TANVIRIYAVECHAKUL Padasak,4,1,"11,11,11,11,11|6,2,5,13,3",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,TANVIRIYAVECHAKUL Padasak (THA),OVTCHAROV Dimitrij (GER)
World Table Tennis Championships Suzhou 2015,2015-04-26,BOLL Timo,MACHADO Carlos,4,0,"11,11,11,11|7,7,5,3",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,BOLL Timo (GER),MACHADO Carlos (ESP)
World Table Tennis Championships Suzhou 2015,2015-04-26,DYJAS Jakub,HE Zhiwen,4,3,"11,11,8,10,12,8,11|8,6,11,12,10,11,5",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,DYJAS Jakub (POL),HE Zhiwen (ESP)
World Table Tennis Championships Suzhou 2015,2015-04-26,KARLSSON Kristian,STOYANOV Niagol,4,0,"11,11,11,11|7,8,5,7",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,KARLSSON Kristian (SWE),STOYANOV Niagol (ITA)
World Table Tennis Championships Suzhou 2015,2015-04-26,MONTEIRO Joao,RECH DALDOSSO Marco,4,2,"5,6,11,11,11,11|11,11,9,7,4,8",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,RECH DALDOSSO Marco (ITA),MONTEIRO Joao (POR)
World Table Tennis Championships Suzhou 2015,2015-04-26,GROTH Jonathan,MATSUDAIRA Kenta,4,3,"11,8,7,11,14,3,11|8,11,11,6,12,11,5",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,MATSUDAIRA Kenta (JPN),GROTH Jonathan (DEN)
World Table Tennis Championships Suzhou 2015,2015-04-26,JANCARIK Lubomir,TOKIC Bojan,4,0,"11,11,13,11|8,8,11,9",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,JANCARIK Lubomir (CZE),TOKIC Bojan (SLO)
World Table Tennis Championships Suzhou 2015,2015-04-26,DRINKHALL Paul,SCHMID Elia,4,0,"11,11,11,11|1,4,1,1",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,DRINKHALL Paul (ENG),SCHMID Elia (SUI)
World Table Tennis Championships Suzhou 2015,2015-04-26,WONG Chun Ting,BEN ARI Omri,4,0,"11,11,11,11|2,9,7,1",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,BEN ARI Omri (ISR),WONG Chun Ting (HKG)
World Table Tennis Championships Suzhou 2015,2015-04-26,NIWA Koki,JAKAB Janos,4,0,"11,11,11,11|4,2,8,7",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,NIWA Koki (JPN),JAKAB Janos (HUN)
World Table Tennis Championships Suzhou 2015,2015-04-26,WANG Zengyi,KARAKASEVIC Aleksandar,4,3,"11,12,11,10,11,11,11|13,14,8,12,7,9,7",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,KARAKASEVIC Aleksandar (SRB),WANG Zengyi (POL)
World Table Tennis Championships Suzhou 2015,2015-04-26,JIANG Tianyi,PETO Zsolt,4,0,"11,11,11,11|4,8,2,7",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,JIANG Tianyi (HKG),PETO Zsolt (SRB)
World Table Tennis Championships Suzhou 2015,2015-04-26,CHEN Chien-An,DEVOS Robin,4,1,"11,13,11,8,11|7,11,6,11,7",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,DEVOS Robin (BEL),CHEN Chien-An (TPE)
World Table Tennis Championships Suzhou 2015,2015-04-26,KIM Minseok,ALAMIAN Nima,4,1,"9,11,11,11,11|11,6,9,5,2",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,KIM Minseok (KOR),ALAMIAN Nima (IRI)
World Table Tennis Championships Suzhou 2015,2015-04-26,GORAK Daniel,TAUBER Michael,4,2,"5,11,3,11,16,11|11,7,11,7,14,5",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,TAUBER Michael (ISR),GORAK Daniel (POL)
World Table Tennis Championships Suzhou 2015,2015-04-26,CHIANG Hung-Chieh,POWELL David,4,1,"11,11,9,11,11|3,9,11,6,5",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,CHIANG Hung-Chieh (TPE),POWELL David (AUS)
World Table Tennis Championships Suzhou 2015,2015-04-26,FAN Zhendong,CIOTI Constantin,4,0,"12,11,11,11|10,5,9,4",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,CIOTI Constantin (ROU),FAN Zhendong (CHN)
World Table Tennis Championships Suzhou 2015,2015-04-26,ZHANG Jike,IONESCU Ovidiu,4,1,"11,11,11,4,11|5,8,3,11,8",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,ZHANG Jike (CHN),IONESCU Ovidiu (ROU)
World Table Tennis Championships Suzhou 2015,2015-04-26,SEO Hyundeok,KIM Hyok Bong,4,3,"7,8,11,11,9,11,11|11,11,9,8,11,7,6",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,SEO Hyundeok (KOR),KIM Hyok Bong (PRK)
World Table Tennis Championships Suzhou 2015,2015-04-26,LIVENTSOV Alexey,MATSUMOTO Cazuo,4,3,"11,9,7,11,11,9,11|4,11,11,9,1,11,8",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,LIVENTSOV Alexey (RUS),MATSUMOTO Cazuo (BRA)
World Table Tennis Championships Suzhou 2015,2015-04-26,LIANG Jingkun,KOSIBA Daniel,4,1,"13,11,5,11,11|11,3,11,7,8",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,KOSIBA Daniel (HUN),LIANG Jingkun (CHN)
World Table Tennis Championships Suzhou 2015,2015-04-26,GERALDO Joao,MATTENET Adrien,4,2,"11,7,11,11,8,11|1,11,7,8,11,9",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,MATTENET Adrien (FRA),GERALDO Joao (POR)
World Table Tennis Championships Suzhou 2015,2015-04-26,HO Kwan Kit,MADRID Marcos,4,0,"11,17,11,11|8,15,6,6",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,MADRID Marcos (MEX),HO Kwan Kit (HKG)
World Table Tennis Championships Suzhou 2015,2015-04-26,OLAH Benedek,TAN Ruiwu,4,3,"14,11,2,11,8,13,11|12,8,11,9,11,15,6",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,TAN Ruiwu (CRO),OLAH Benedek (FIN)
World Table Tennis Championships Suzhou 2015,2015-04-26,SAMSONOV Vladimir,JEVTOVIC Marko,4,1,"11,11,11,8,11|8,5,8,11,9",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,JEVTOVIC Marko (SRB),SAMSONOV Vladimir (BLR)
World Table Tennis Championships Suzhou 2015,2015-04-26,GAO Ning,SAIVE Jean-Michel,4,1,"11,6,11,11,11|5,11,7,7,8",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,GAO Ning (SGP),SAIVE Jean-Michel (BEL)
World Table Tennis Championships Suzhou 2015,2015-04-26,TSUBOI Gustavo,CHEN Diogo,4,1,"11,5,11,11,11|6,11,7,3,6",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,CHEN Diogo (POR),TSUBOI Gustavo (BRA)
World Table Tennis Championships Suzhou 2015,2015-04-26,CHEN Weixing,FERTIKOWSKI Pawel,4,0,"12,11,11,11|10,8,4,3",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,CHEN Weixing (AUT),FERTIKOWSKI Pawel (POL)
World Table Tennis Championships Suzhou 2015,2015-04-26,MURAMATSU Yuto,MONTEIRO Thiago,4,0,"11,11,12,11|8,9,10,7",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,MONTEIRO Thiago (BRA),MURAMATSU Yuto (JPN)
World Table Tennis Championships Suzhou 2015,2015-04-26,JEOUNG Youngsik,SALIFOU Abdel-Kader,4,0,"11,11,11,11|7,3,9,5",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,JEOUNG Youngsik (KOR),SALIFOU Abdel-Kader (BEN)
World Table Tennis Championships Suzhou 2015,2015-04-26,PERSSON Jon,ROBLES Alvaro,4,0,"11,11,12,11|8,7,10,8",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,ROBLES Alvaro (ESP),PERSSON Jon (SWE)
World Table Tennis Championships Suzhou 2015,2015-04-26,CALDERANO Hugo,STERNBERG Kasper,4,2,"15,11,11,12,6,11|13,8,8,14,11,7",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,CALDERANO Hugo (BRA),STERNBERG Kasper (DEN)
World Table Tennis Championships Suzhou 2015,2015-04-26,MIZUTANI Jun,PLATONOV Pavel,4,0,"13,11,11,11|11,9,3,4",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,PLATONOV Pavel (BLR),MIZUTANI Jun (JPN)
World Table Tennis Championships Suzhou 2015,2015-04-26,FREITAS Marcos,PEREIRA Andy,4,1,"7,11,11,11,11|11,1,9,9,9",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,FREITAS Marcos (POR),PEREIRA Andy (CUB)
World Table Tennis Championships Suzhou 2015,2015-04-26,YOSHIDA Masaki,ZIBRAT Jan,4,2,"11,4,11,11,7,11|7,11,6,8,11,3",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,ZIBRAT Jan (SLO),YOSHIDA Masaki (JPN)
World Table Tennis Championships Suzhou 2015,2015-04-26,FRANZISKA Patrick,LASHIN Elsayed,4,0,"11,11,17,11|8,9,15,5",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,FRANZISKA Patrick (GER),LASHIN Elsayed (EGY)
World Table Tennis Championships Suzhou 2015,2015-04-26,MENGEL Steffen,KATKOV Ivan,4,3,"3,7,11,11,13,7,11|11,11,5,5,11,11,7",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,KATKOV Ivan (UKR),MENGEL Steffen (GER)
World Table Tennis Championships Suzhou 2015,2015-04-26,STEGER Bastian,DURAN Marc,4,2,"11,6,11,6,11,11|9,11,7,11,9,5",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,STEGER Bastian (GER),DURAN Marc (ESP)
World Table Tennis Championships Suzhou 2015,2015-04-26,KOU Lei,MINO Alberto,4,0,"11,11,11,11|4,7,7,8",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,MINO Alberto (ECU),KOU Lei (UKR)
World Table Tennis Championships Suzhou 2015,2015-04-26,CRISAN Adrian,PAPAGEORGIOU Konstantinos,4,0,"11,13,13,11|9,11,11,6",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,CRISAN Adrian (ROU),PAPAGEORGIOU Konstantinos (GRE)
World Table Tennis Championships Suzhou 2015,2015-04-26,PATTANTYUS Adam,CHUANG Chih-Yuan,4,3,"6,11,11,11,7,10,11|11,8,6,1,11,12,9",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,PATTANTYUS Adam (HUN),CHUANG Chih-Yuan (TPE)
World Table Tennis Championships Suzhou 2015,2015-04-26,FANG Bo,KONECNY Tomas,4,1,"10,11,11,11,11|12,5,4,9,6",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,FANG Bo (KAZ),KONECNY Tomas (CZE)
World Table Tennis Championships Suzhou 2015,2015-04-26,GNANASEKARAN Sathiyan,GERELL Par,4,1,"11,11,8,11,11|5,8,11,4,7",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,GNANASEKARAN Sathiyan (IND),GERELL Par (SWE)
World Table Tennis Championships Suzhou 2015,2015-04-26,ACHANTA Sharath,PAK Sin Hyok,4,2,"12,12,12,11,5,11|14,10,10,9,11,7",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,ACHANTA Sharath (IND),PAK Sin Hyok (PRK)
World Table Tennis Championships Suzhou 2015,2015-04-26,GAUZY Simon,FILIMON Andrei,4,0,"11,11,11,11|6,7,9,5",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,FILIMON Andrei (ROU),GAUZY Simon (FRA)
World Table Tennis Championships Suzhou 2015,2015-04-26,GHOSH Soumyajit,ARUNA Quadri,4,1,"11,12,14,6,11|6,10,12,11,5",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,ARUNA Quadri (NGR),GHOSH Soumyajit (IND)
World Table Tennis Championships Suzhou 2015,2015-04-26,SHIBAEV Alexander,SEREDA Peter,4,1,"11,11,11,19,11|3,9,7,21,5",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,SEREDA Peter (SVK),SHIBAEV Alexander (RUS)
World Table Tennis Championships Suzhou 2015,2015-04-26,CHOE Il,SKACHKOV Kirill,4,3,"12,8,12,10,7,11,11|10,11,10,12,11,8,9",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,SKACHKOV Kirill (RUS),CHOE Il (PRK)
World Table Tennis Championships Suzhou 2015,2015-04-26,XU Xin,YANG Zi,4,1,"9,11,11,11,12|11,5,8,6,10",R128,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,YANG Zi (SGP),XU Xin (CHN)
World Table Tennis Championships Suzhou 2015,2015-04-26,MA Long,LEBESSON Emmanuel,4,1,"11,11,7,11,11|8,8,11,9,6",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,MA Long (CHN),LEBESSON Emmanuel (FRA)
World Table Tennis Championships Suzhou 2015,2015-04-26,GIONIS Panagiotis,VLASOV Grigory,4,1,"11,11,9,11,11|5,8,11,9,7",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,VLASOV Grigory (RUS),GIONIS Panagiotis (GRE)
World Table Tennis Championships Suzhou 2015,2015-04-26,PITCHFORD Liam,APOLONIA Tiago,4,2,"11,8,10,11,11,11|8,11,12,4,6,9",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,APOLONIA Tiago (POR),PITCHFORD Liam (ENG)
World Table Tennis Championships Suzhou 2015,2015-04-26,JOO Saehyuk,HABESOHN Daniel,4,0,"11,11,11,11|8,6,7,5",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,HABESOHN Daniel (AUT),JOO Saehyuk (KOR)
World Table Tennis Championships Suzhou 2015,2015-04-26,TANG Peng,BOBOCICA Mihai,4,0,"12,11,11,11|10,6,4,7",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,TANG Peng (HKG),BOBOCICA Mihai (ITA)
World Table Tennis Championships Suzhou 2015,2015-04-26,FEGERL Stefan,GARDOS Robert,4,2,"6,13,11,11,9,11|11,11,9,8,11,9",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,FEGERL Stefan (AUT),GARDOS Robert (AUT)
World Table Tennis Championships Suzhou 2015,2015-04-26,ASSAR Omar,HUANG Sheng-Sheng,4,1,"10,11,11,11,11|12,2,9,7,7",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,ASSAR Omar (EGY),HUANG Sheng-Sheng (TPE)
World Table Tennis Championships Suzhou 2015,2015-04-26,LEE Sang Su,OVTCHAROV Dimitrij,4,3,"11,11,4,8,11,3,11|6,9,11,11,6,11,6",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,LEE Sang Su (KOR),OVTCHAROV Dimitrij (GER)
World Table Tennis Championships Suzhou 2015,2015-04-26,BOLL Timo,DYJAS Jakub,4,2,"11,7,6,11,11,15|9,11,11,5,7,13",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,BOLL Timo (GER),DYJAS Jakub (POL)
World Table Tennis Championships Suzhou 2015,2015-04-26,MONTEIRO Joao,KARLSSON Kristian,4,0,"11,11,11,11|5,4,7,5",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,KARLSSON Kristian (SWE),MONTEIRO Joao (POR)
World Table Tennis Championships Suzhou 2015,2015-04-26,GROTH Jonathan,JANCARIK Lubomir,4,2,"11,11,11,10,13,11|13,7,9,12,11,4",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,GROTH Jonathan (DEN),JANCARIK Lubomir (CZE)
World Table Tennis Championships Suzhou 2015,2015-04-26,WONG Chun Ting,DRINKHALL Paul,4,1,"12,9,11,11,11|10,11,8,9,6",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,DRINKHALL Paul (ENG),WONG Chun Ting (HKG)
World Table Tennis Championships Suzhou 2015,2015-04-26,NIWA Koki,WANG Zengyi,4,2,"9,11,11,9,11,11|11,2,6,11,3,2",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,NIWA Koki (JPN),WANG Zengyi (POL)
World Table Tennis Championships Suzhou 2015,2015-04-26,JIANG Tianyi,CHEN Chien-An,4,0,"11,11,11,12|5,7,7,10",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,JIANG Tianyi (HKG),CHEN Chien-An (TPE)
World Table Tennis Championships Suzhou 2015,2015-04-26,KIM Minseok,GORAK Daniel,4,0,"11,11,11,11|5,7,4,4",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,KIM Minseok (KOR),GORAK Daniel (POL)
World Table Tennis Championships Suzhou 2015,2015-04-26,FAN Zhendong,CHIANG Hung-Chieh,4,1,"11,11,11,9,11|5,4,5,11,7",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,CHIANG Hung-Chieh (TPE),FAN Zhendong (CHN)
World Table Tennis Championships Suzhou 2015,2015-04-26,ZHANG Jike,SEO Hyundeok,4,0,"11,11,11,11|3,7,5,4",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,ZHANG Jike (CHN),SEO Hyundeok (KOR)
World Table Tennis Championships Suzhou 2015,2015-04-26,LIANG Jingkun,LIVENTSOV Alexey,4,0,"11,11,11,12|3,9,3,10",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,LIVENTSOV Alexey (RUS),LIANG Jingkun (CHN)
World Table Tennis Championships Suzhou 2015,2015-04-26,GERALDO Joao,HO Kwan Kit,4,3,"11,11,10,11,8,11,15|4,13,12,8,11,9,13",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,GERALDO Joao (POR),HO Kwan Kit (HKG)
World Table Tennis Championships Suzhou 2015,2015-04-26,SAMSONOV Vladimir,OLAH Benedek,4,1,"12,11,11,6,11|10,1,5,11,4",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,OLAH Benedek (FIN),SAMSONOV Vladimir (BLR)
World Table Tennis Championships Suzhou 2015,2015-04-26,GAO Ning,TSUBOI Gustavo,4,1,"3,11,11,11,11|11,4,5,2,5",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,GAO Ning (SGP),TSUBOI Gustavo (BRA)
World Table Tennis Championships Suzhou 2015,2015-04-26,CHEN Weixing,MURAMATSU Yuto,4,0,"11,13,11,11|3,11,7,5",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,CHEN Weixing (AUT),MURAMATSU Yuto (JPN)
World Table Tennis Championships Suzhou 2015,2015-04-26,JEOUNG Youngsik,PERSSON Jon,4,3,"9,11,9,11,11,10,11|11,8,11,9,4,12,7",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,JEOUNG Youngsik (KOR),PERSSON Jon (SWE)
World Table Tennis Championships Suzhou 2015,2015-04-26,MIZUTANI Jun,CALDERANO Hugo,4,2,"11,5,4,12,14,11|3,11,11,10,12,7",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,CALDERANO Hugo (BRA),MIZUTANI Jun (JPN)
World Table Tennis Championships Suzhou 2015,2015-04-26,FREITAS Marcos,YOSHIDA Masaki,4,2,"11,6,11,13,9,11|8,11,4,11,11,7",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,FREITAS Marcos (POR),YOSHIDA Masaki (JPN)
World Table Tennis Championships Suzhou 2015,2015-04-26,FRANZISKA Patrick,MENGEL Steffen,4,1,"11,9,11,11,11|9,11,6,3,6",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,FRANZISKA Patrick (GER),MENGEL Steffen (GER)
World Table Tennis Championships Suzhou 2015,2015-04-26,KOU Lei,STEGER Bastian,4,2,"4,12,11,11,11,11|11,14,8,9,8,4",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,STEGER Bastian (GER),KOU Lei (UKR)
World Table Tennis Championships Suzhou 2015,2015-04-26,PATTANTYUS Adam,CRISAN Adrian,4,2,"11,15,11,11,9,11|6,13,13,9,11,6",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,CRISAN Adrian (ROU),PATTANTYUS Adam (HUN)
World Table Tennis Championships Suzhou 2015,2015-04-26,FANG Bo,GNANASEKARAN Sathiyan,4,1,"9,11,11,11,11|11,4,8,5,7",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,FANG Bo (KAZ),GNANASEKARAN Sathiyan (IND)
World Table Tennis Championships Suzhou 2015,2015-04-26,ACHANTA Sharath,GAUZY Simon,4,1,"11,11,11,8,11|4,5,7,11,8",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,ACHANTA Sharath (IND),GAUZY Simon (FRA)
World Table Tennis Championships Suzhou 2015,2015-04-26,SHIBAEV Alexander,GHOSH Soumyajit,4,1,"12,14,4,12,11|7,12,11,10,9",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,GHOSH Soumyajit (IND),SHIBAEV Alexander (RUS)
World Table Tennis Championships Suzhou 2015,2015-04-26,XU Xin,CHOE Il,4,0,"11,11,11,11|4,3,8,8",R64,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,CHOE Il (PRK),XU Xin (CHN)
World Table Tennis Championships Suzhou 2015,2015-04-26,MA Long,GIONIS Panagiotis,4,0,"14,11,11,11|12,5,5,4",R32,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,MA Long (CHN),GIONIS Panagiotis (GRE)
World Table Tennis Championships Suzhou 2015,2015-04-26,JOO Saehyuk,PITCHFORD Liam,4,1,"12,9,11,11,11|10,11,5,4,8",R32,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,PITCHFORD Liam (ENG),JOO Saehyuk (KOR)
World Table Tennis Championships Suzhou 2015,2015-04-26,TANG Peng,FEGERL Stefan,4,2,"11,6,11,9,11,11|7,11,7,11,8,6",R32,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,TANG Peng (HKG),FEGERL Stefan (AUT)
World Table Tennis Championships Suzhou 2015,2015-04-26,LEE Sang Su,ASSAR Omar,4,1,"11,11,8,11,11|2,9,11,9,6",R32,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,ASSAR Omar (EGY),LEE Sang Su (KOR)
World Table Tennis Championships Suzhou 2015,2015-04-26,BOLL Timo,MONTEIRO Joao,4,3,"11,7,10,14,11,3,12|5,11,12,12,7,11,10",R32,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,BOLL Timo (GER),MONTEIRO Joao (POR)
World Table Tennis Championships Suzhou 2015,2015-04-26,WONG Chun Ting,GROTH Jonathan,4,0,"11,11,11,11|8,7,6,7",R32,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,GROTH Jonathan (DEN),WONG Chun Ting (HKG)
World Table Tennis Championships Suzhou 2015,2015-04-26,NIWA Koki,JIANG Tianyi,4,2,"8,2,11,11,11,11|11,11,7,3,6,3",R32,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,NIWA Koki (JPN),JIANG Tianyi (HKG)
World Table Tennis Championships Suzhou 2015,2015-04-26,FAN Zhendong,KIM Minseok,4,0,"11,11,12,14|7,9,10,12",R32,WORLD_CHAMPIONSHIPS,MS,326,Main Draw,KIM Minseok (KOR),FAN Zhendong (CHN)
