tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Pro Tour Slovenia Open Velenje 2010,2010-01-19,KIM Minseok,OVTCHAROV Dimitrij,4,2,"11,15,9,11,4,11|3,13,11,8,11,9",R64,GRAND_SLAM,MS,65,Main Draw,KIM Minseok (KOR),OVTCHAROV Dimitrij (GER)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,JEOUNG Youngsik,LASAN Sas,4,3,"11,12,12,9,6,11,11|4,10,14,11,11,9,6",R64,GRAND_SLAM,MS,65,Main Draw,JEOUNG Youngsik (KOR),LASAN Sas (SLO)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,LEE Sang Su,MATTENET Adrien,4,2,"8,11,5,11,11,11|11,7,11,1,5,8",R64,GRAND_SLAM,MS,65,Main Draw,LEE Sang Su (KOR),MATTENET Adrien (FRA)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,SVENSSON Robert,MONTEIRO Joao,4,3,"11,9,11,4,11,8,14|9,11,7,11,9,11,12",R64,GRAND_SLAM,MS,65,Main Draw,SVENSSON Robert (SWE),MONTEIRO Joao (POR)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,KUZMIN Fedor,LI Kewei,4,1,"9,11,11,12,12|11,7,8,10,10",R64,GRAND_SLAM,MS,65,Main Draw,KUZMIN Fedor (RUS),LI Kewei (MLT)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,BENTSEN Allan,MONTEIRO Thiago,4,3,"5,11,12,7,11,11,11|11,13,10,11,9,9,9",R64,GRAND_SLAM,MS,65,Main Draw,BENTSEN Allan (DEN),MONTEIRO Thiago (BRA)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,GACINA Andrej,PAZSY Ferenc,4,1,"11,11,11,7,11|9,2,5,11,8",R64,GRAND_SLAM,MS,65,Main Draw,GACINA Andrej (CRO),PAZSY Ferenc (HUN)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,SMIRNOV Alexey,IONESCU Ovidiu,4,2,"11,7,11,6,11,11|5,11,4,11,9,8",R64,GRAND_SLAM,MS,65,Main Draw,SMIRNOV Alexey (RUS),IONESCU Ovidiu (ROU)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,SHIBAEV Alexander,TOKIC Bojan,4,2,"14,6,11,11,11,11|16,11,6,8,2,5",R64,GRAND_SLAM,MS,65,Main Draw,SHIBAEV Alexander (RUS),TOKIC Bojan (SLO)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,FEJER-KONNERTH Zoltan,GORAK Daniel,4,3,"11,7,11,10,11,9,11|9,11,8,12,6,11,4",R64,GRAND_SLAM,MS,65,Main Draw,FEJER-KONNERTH Zoltan (GER),GORAK Daniel (POL)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,TOSIC Roko,ILLAS Erik,4,2,"11,7,11,12,11,11|5,11,3,14,7,6",R64,GRAND_SLAM,MS,65,Main Draw,TOSIC Roko (CRO),ILLAS Erik (SVK)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,SAIVE Jean-Michel,JOVER Sebastien,4,0,"14,11,11,11|12,9,4,3",R64,GRAND_SLAM,MS,65,Main Draw,SAIVE Jean-Michel (BEL),JOVER Sebastien (FRA)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,APOLONIA Tiago,CHMIEL Pawel,4,0,"11,11,11,11|8,5,4,7",R64,GRAND_SLAM,MS,65,Main Draw,APOLONIA Tiago (POR),CHMIEL Pawel (POL)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,WOSIK Torben,BLASZCZYK Lucjan,4,3,"13,7,10,11,12,12,11|11,11,12,8,10,14,7",R64,GRAND_SLAM,MS,65,Main Draw,WOSIK Torben (GER),BLASZCZYK Lucjan (POL)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,RUBTSOV Igor,VOSTES Yannick,4,2,"13,11,11,11,9,13|15,9,7,9,11,11",R64,GRAND_SLAM,MS,65,Main Draw,RUBTSOV Igor (RUS),VOSTES Yannick (BEL)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,CHEN Weixing,SEREDA Peter,4,2,"6,11,11,11,9,11|11,7,7,4,11,6",R64,GRAND_SLAM,MS,65,Main Draw,CHEN Weixing (AUT),SEREDA Peter (SVK)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,BAUM Patrick,SUCH Bartosz,4,1,"8,11,13,11,11|11,7,11,5,6",R64,GRAND_SLAM,MS,65,Main Draw,BAUM Patrick (GER),SUCH Bartosz (POL)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,PETO Zsolt,BOBOCICA Mihai,4,3,"12,9,15,8,14,11,11|10,11,17,11,12,8,7",R64,GRAND_SLAM,MS,65,Main Draw,PETO Zsolt (SRB),BOBOCICA Mihai (ITA)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,PISTEJ Lubomir,CHTCHETININE Evgueni,4,2,"11,12,11,10,7,11|8,10,5,12,11,7",R64,GRAND_SLAM,MS,65,Main Draw,PISTEJ Lubomir (SVK),CHTCHETININE Evgueni (BLR)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,LUNDQVIST Jens,DANIEL Artur,4,2,"11,11,11,12,9,12|5,8,7,14,11,10",R64,GRAND_SLAM,MS,65,Main Draw,LUNDQVIST Jens (SWE),DANIEL Artur (POL)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,MENGEL Steffen,GERELL Par,4,2,"7,7,11,12,11,11|11,11,5,10,8,9",R64,GRAND_SLAM,MS,65,Main Draw,MENGEL Steffen (GER),GERELL Par (SWE)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,KEINATH Thomas,TSUBOI Gustavo,4,2,"11,8,11,3,11,13|6,11,7,11,7,11",R64,GRAND_SLAM,MS,65,Main Draw,KEINATH Thomas (SVK),TSUBOI Gustavo (BRA)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,VLASOV Grigory,KARAKASEVIC Aleksandar,4,1,"9,11,13,11,11|11,5,11,6,5",R64,GRAND_SLAM,MS,65,Main Draw,VLASOV Grigory (RUS),KARAKASEVIC Aleksandar (SRB)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,GIONIS Panagiotis,RASMUSSEN Morten,4,0,"11,11,11,11|7,9,8,4",R64,GRAND_SLAM,MS,65,Main Draw,GIONIS Panagiotis (GRE),RASMUSSEN Morten (DEN)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,STEGER Bastian,BARDON Michal,4,2,"11,4,12,11,6,11|1,11,10,8,11,8",R64,GRAND_SLAM,MS,65,Main Draw,STEGER Bastian (GER),BARDON Michal (SVK)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,MACHADO Carlos,REDJEP Ronald,4,0,"11,11,11,11|4,9,6,9",R64,GRAND_SLAM,MS,65,Main Draw,MACHADO Carlos (ESP),REDJEP Ronald (CRO)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,ELOI Damien,CARNEROS Alfredo,4,1,"11,7,11,11,11|7,11,5,9,9",R64,GRAND_SLAM,MS,65,Main Draw,ELOI Damien (FRA),CARNEROS Alfredo (ESP)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,PROKOPCOV Dmitrij,LIN Ju,4,0,"11,17,11,11|6,15,9,8",R64,GRAND_SLAM,MS,65,Main Draw,PROKOPCOV Dmitrij (CZE),LIN Ju (DOM)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,SKACHKOV Kirill,YANG Zi,4,1,"11,13,11,4,12|8,11,7,11,10",R64,GRAND_SLAM,MS,65,Main Draw,SKACHKOV Kirill (RUS),YANG Zi (SGP)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,SEO Hyundeok,HIELSCHER Lars,4,3,"9,12,11,6,11,1,14|11,10,6,11,3,11,12",R64,GRAND_SLAM,MS,65,Main Draw,SEO Hyundeok (KOR),HIELSCHER Lars (GER)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,LEBESSON Emmanuel,JAKAB Janos,4,2,"11,8,9,11,11,11|8,11,11,2,9,7",R64,GRAND_SLAM,MS,65,Main Draw,LEBESSON Emmanuel (FRA),JAKAB Janos (HUN)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,CHUANG Chih-Yuan,BURGIS Matiss,4,1,"6,11,11,11,11|11,6,7,6,7",R64,GRAND_SLAM,MS,65,Main Draw,CHUANG Chih-Yuan (TPE),BURGIS Matiss (LAT)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,KIM Minseok,JEOUNG Youngsik,4,3,"11,9,11,8,9,11,11|4,11,3,11,11,3,7",R32,GRAND_SLAM,MS,65,Main Draw,KIM Minseok (KOR),JEOUNG Youngsik (KOR)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,LEE Sang Su,SVENSSON Robert,4,1,"11,11,11,9,11|9,5,6,11,7",R32,GRAND_SLAM,MS,65,Main Draw,LEE Sang Su (KOR),SVENSSON Robert (SWE)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,KUZMIN Fedor,BENTSEN Allan,4,0,"11,11,11,13|9,8,6,11",R32,GRAND_SLAM,MS,65,Main Draw,KUZMIN Fedor (RUS),BENTSEN Allan (DEN)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,SMIRNOV Alexey,GACINA Andrej,4,1,"11,11,8,12,11|5,8,11,10,7",R32,GRAND_SLAM,MS,65,Main Draw,SMIRNOV Alexey (RUS),GACINA Andrej (CRO)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,FEJER-KONNERTH Zoltan,SHIBAEV Alexander,4,0,"11,11,11,11|7,6,9,4",R32,GRAND_SLAM,MS,65,Main Draw,FEJER-KONNERTH Zoltan (GER),SHIBAEV Alexander (RUS)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,TOSIC Roko,SAIVE Jean-Michel,4,2,"4,11,11,11,5,12|11,9,8,8,11,10",R32,GRAND_SLAM,MS,65,Main Draw,TOSIC Roko (CRO),SAIVE Jean-Michel (BEL)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,APOLONIA Tiago,WOSIK Torben,4,2,"11,3,11,14,11,11|8,11,3,16,4,5",R32,GRAND_SLAM,MS,65,Main Draw,APOLONIA Tiago (POR),WOSIK Torben (GER)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,CHEN Weixing,RUBTSOV Igor,4,0,"11,13,11,11|5,11,9,5",R32,GRAND_SLAM,MS,65,Main Draw,CHEN Weixing (AUT),RUBTSOV Igor (RUS)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,PETO Zsolt,BAUM Patrick,4,1,"11,11,4,12,11|9,9,11,10,8",R32,GRAND_SLAM,MS,65,Main Draw,PETO Zsolt (SRB),BAUM Patrick (GER)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,LUNDQVIST Jens,PISTEJ Lubomir,4,1,"11,11,6,11,11|9,8,11,7,8",R32,GRAND_SLAM,MS,65,Main Draw,LUNDQVIST Jens (SWE),PISTEJ Lubomir (SVK)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,MENGEL Steffen,KEINATH Thomas,4,2,"11,6,11,13,12,11|5,11,8,11,14,8",R32,GRAND_SLAM,MS,65,Main Draw,MENGEL Steffen (GER),KEINATH Thomas (SVK)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,VLASOV Grigory,GIONIS Panagiotis,4,3,"5,11,5,12,11,11,11|11,13,11,10,9,7,7",R32,GRAND_SLAM,MS,65,Main Draw,VLASOV Grigory (RUS),GIONIS Panagiotis (GRE)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,STEGER Bastian,MACHADO Carlos,4,1,"12,11,16,6,11|10,7,14,11,4",R32,GRAND_SLAM,MS,65,Main Draw,STEGER Bastian (GER),MACHADO Carlos (ESP)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,PROKOPCOV Dmitrij,ELOI Damien,4,3,"12,7,13,11,11,9,11|10,11,11,13,9,11,5",R32,GRAND_SLAM,MS,65,Main Draw,PROKOPCOV Dmitrij (CZE),ELOI Damien (FRA)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,SEO Hyundeok,SKACHKOV Kirill,4,1,"11,11,11,8,11|8,8,7,11,8",R32,GRAND_SLAM,MS,65,Main Draw,SEO Hyundeok (KOR),SKACHKOV Kirill (RUS)
Pro Tour Slovenia Open Velenje 2010,2010-01-19,CHUANG Chih-Yuan,LEBESSON Emmanuel,4,0,"12,11,11,11|10,9,5,7",R32,GRAND_SLAM,MS,65,Main Draw,CHUANG Chih-Yuan (TPE),LEBESSON Emmanuel (FRA)
