tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Tour Belarus Open Minsk 2014,2014-08-21,SAMSONOV Vladimir,EFIMOV Mikhail,4,0,"11,11,11,11|2,4,4,3",R64,GRAND_SLAM,MS,138,Main Draw,SAMSONOV Vladimir (BLR),EFIMOV Mikhail (RUS)
World Tour Belarus Open Minsk 2014,2014-08-21,OGATA Ryotaro,LEE Jinkwon,4,2,"8,11,13,2,11,11|11,5,11,11,5,8",R64,GRAND_SLAM,MS,138,Main Draw,OGATA Ryotaro (JPN),LEE Jinkwon (KOR)
World Tour Belarus Open Minsk 2014,2014-08-21,GADIEV Vildan,PYSAR Dmytro,4,1,"12,11,14,11,11|10,5,16,8,4",R64,GRAND_SLAM,MS,138,Main Draw,PYSAR Dmytro (UKR),GADIEV Vildan (RUS)
World Tour Belarus Open Minsk 2014,2014-08-21,FLORAS Robert,SHVETC Kirill,4,1,"6,11,11,11,11|11,7,1,2,8",R64,GRAND_SLAM,MS,138,Main Draw,SHVETC Kirill (RUS),FLORAS Robert (POL)
World Tour Belarus Open Minsk 2014,2014-08-21,OUAICHE Stephane,IVONIN Denis,4,0,"11,11,11,11|9,8,8,2",R64,GRAND_SLAM,MS,138,Main Draw,OUAICHE Stephane (ALG),IVONIN Denis (RUS)
World Tour Belarus Open Minsk 2014,2014-08-21,NUYTINCK Cedric,ZHIDKOV Ilya,4,1,"11,6,13,12,12|8,11,11,10,10",R64,GRAND_SLAM,MS,138,Main Draw,ZHIDKOV Ilya (RUS),NUYTINCK Cedric (BEL)
World Tour Belarus Open Minsk 2014,2014-08-21,BAIBULDIN Andrei,SHAMRUK Gleb,4,0,"11,11,11,11|7,5,6,8",R64,GRAND_SLAM,MS,138,Main Draw,BAIBULDIN Andrei (RUS),SHAMRUK Gleb (BLR)
World Tour Belarus Open Minsk 2014,2014-08-21,SAMOKYSH Kyrylo,SEO Hyundeok,4,3,"9,5,11,5,11,11,13|11,11,8,11,9,7,11",R64,GRAND_SLAM,MS,138,Main Draw,SAMOKYSH Kyrylo (UKR),SEO Hyundeok (KOR)
World Tour Belarus Open Minsk 2014,2014-08-21,GORAK Daniel,VILENCHYTS Nikita,4,0,"11,11,11,11|6,4,7,5",R64,GRAND_SLAM,MS,138,Main Draw,GORAK Daniel (POL),VILENCHYTS Nikita (BLR)
World Tour Belarus Open Minsk 2014,2014-08-21,DEVOS Robin,ZIMARIN Artem,4,1,"9,11,11,11,11|11,9,3,7,6",R64,GRAND_SLAM,MS,138,Main Draw,ZIMARIN Artem (RUS),DEVOS Robin (BEL)
World Tour Belarus Open Minsk 2014,2014-08-21,FERTIKOWSKI Pawel,KELBUGANOV Timur,4,0,"11,11,11,11|8,9,8,6",R64,GRAND_SLAM,MS,138,Main Draw,FERTIKOWSKI Pawel (POL),KELBUGANOV Timur (KAZ)
World Tour Belarus Open Minsk 2014,2014-08-21,LAKEEV Vasily,NEKHVEDOVICH Vitaly,4,3,"6,11,11,4,12,14,11|11,3,4,11,10,16,8",R64,GRAND_SLAM,MS,138,Main Draw,NEKHVEDOVICH Vitaly (BLR),LAKEEV Vasily (RUS)
World Tour Belarus Open Minsk 2014,2014-08-21,GRIGOREV Artur,TAUBER Michael,4,1,"11,11,5,11,11|4,7,11,5,7",R64,GRAND_SLAM,MS,138,Main Draw,GRIGOREV Artur (RUS),TAUBER Michael (ISR)
World Tour Belarus Open Minsk 2014,2014-08-21,BUROV Viacheslav,BARABANOV Kiryl,4,0,"11,11,11,11|3,6,5,4",R64,GRAND_SLAM,MS,138,Main Draw,BARABANOV Kiryl (BLR),BUROV Viacheslav (RUS)
World Tour Belarus Open Minsk 2014,2014-08-21,CHTCHETININE Evgueni,ZONENKO Valeriy,4,1,"11,8,11,11,11|4,11,1,6,5",R64,GRAND_SLAM,MS,138,Main Draw,CHTCHETININE Evgueni (BLR),ZONENKO Valeriy (RUS)
World Tour Belarus Open Minsk 2014,2014-08-21,WANG Zengyi,AFANASENKA Siarhei,4,0,"11,11,11,11|4,6,5,7",R64,GRAND_SLAM,MS,138,Main Draw,WANG Zengyi (POL),AFANASENKA Siarhei (BLR)
World Tour Belarus Open Minsk 2014,2014-08-21,KULPA Konrad,LUSIN Aleksandr,4,3,"4,10,9,11,12,11,11|11,12,11,4,10,3,9",R64,GRAND_SLAM,MS,138,Main Draw,LUSIN Aleksandr (EST),KULPA Konrad (POL)
World Tour Belarus Open Minsk 2014,2014-08-21,RYUZAKI Tonin,AHLANDER-J Carl,4,0,"11,11,11,11|5,3,7,7",R64,GRAND_SLAM,MS,138,Main Draw,RYUZAKI Tonin (JPN),AHLANDER-J Carl (SWE)
World Tour Belarus Open Minsk 2014,2014-08-21,SAMBE Kohei,FILATOV Vasilij,4,3,"11,11,10,11,11,8,11|5,4,12,7,13,11,3",R64,GRAND_SLAM,MS,138,Main Draw,FILATOV Vasilij (RUS),SAMBE Kohei (JPN)
World Tour Belarus Open Minsk 2014,2014-08-21,PLATONOV Pavel,GUSEV Arseniy,4,2,"11,13,8,10,11,11|6,11,11,12,7,8",R64,GRAND_SLAM,MS,138,Main Draw,PLATONOV Pavel (BLR),GUSEV Arseniy (RUS)
World Tour Belarus Open Minsk 2014,2014-08-21,KRIVOSHEEV Viacheslav,YARASHENKA Vadim,4,0,"11,11,11,11|4,4,1,8",R64,GRAND_SLAM,MS,138,Main Draw,YARASHENKA Vadim (BLR),KRIVOSHEEV Viacheslav (RUS)
World Tour Belarus Open Minsk 2014,2014-08-21,TAZOE Kenta,KUIMOV Philipp,4,2,"11,11,9,11,8,11|9,7,11,3,11,5",R64,GRAND_SLAM,MS,138,Main Draw,TAZOE Kenta (JPN),KUIMOV Philipp (RUS)
World Tour Belarus Open Minsk 2014,2014-08-21,LIVENTSOV Alexey,ZHOLUDEV Denis,4,0,"11,11,11,11|6,6,8,8",R64,GRAND_SLAM,MS,138,Main Draw,ZHOLUDEV Denis (KAZ),LIVENTSOV Alexey (RUS)
World Tour Belarus Open Minsk 2014,2014-08-21,LEE Sang Su,DROBOV Dmytro,4,0,"11,11,11,11|6,3,1,4",R64,GRAND_SLAM,MS,138,Main Draw,LEE Sang Su (KOR),DROBOV Dmytro (UKR)
World Tour Belarus Open Minsk 2014,2014-08-21,PETIOT Jeremy,BUKIN Andrey,4,1,"11,11,8,11,11|6,6,11,7,7",R64,GRAND_SLAM,MS,138,Main Draw,BUKIN Andrey (RUS),PETIOT Jeremy (FRA)
