tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,MARTINEZ Michel,PETIOT Jeremy,3,0,,F,WTT_CONTENDER,MS,612,Main Draw,MARTINEZ Michel (FRA),PETIOT Jeremy (FRA),MARTINEZ Michel
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,MARTINEZ Michel,DE BOER Michel,3,0,,SF,WTT_CONTENDER,MS,612,Main Draw,MARTINEZ Michel (FRA),DE BOER Michel (NED),MARTINEZ Michel
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,PETIOT Jeremy,UTOCHKIN Artem,3,0,,SF,WTT_CONTENDER,MS,612,Main Draw,PETIOT Jeremy (FRA),UTOCHKIN Artem (RUS),PETIOT Jeremy
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,DE BOER Michel,OLLIVIER Brice,3,0,,QF,WTT_CONTENDER,MS,612,Main Draw,DE BOER Michel (NED),OLLIVIER Brice (FRA),DE BOER Michel
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,MARTINEZ Michel,CALUS Dorin,3,0,,QF,WTT_CONTENDER,MS,612,Main Draw,MARTINEZ Michel (FRA),CALUS Dorin (FRA),MARTINEZ Michel
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,PETIOT Jeremy,RONNEBERG Espen,3,0,,QF,WTT_CONTENDER,MS,612,Main Draw,PETIOT Jeremy (FRA),RONNEBERG Espen (NOR),PETIOT Jeremy
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,UTOCHKIN Artem,PHUNG Armand,3,0,,QF,WTT_CONTENDER,MS,612,Main Draw,UTOCHKIN Artem (RUS),PHUNG Armand (FRA),UTOCHKIN Artem
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,OLLIVIER Brice,JEAN Lauric,3,0,,R16,WTT_CONTENDER,MS,612,Main Draw,OLLIVIER Brice (FRA),JEAN Lauric (BEL),OLLIVIER Brice
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,DE BOER Michel,WARE Mathew,3,0,,R16,WTT_CONTENDER,MS,612,Main Draw,DE BOER Michel (NED),WARE Mathew (ENG),DE BOER Michel
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,CALUS Dorin,YANG Min,3,0,,R16,WTT_CONTENDER,MS,612,Main Draw,CALUS Dorin (FRA),YANG Min (LUX),CALUS Dorin
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,MARTINEZ Michel,ZHANG Dongying,3,0,,R16,WTT_CONTENDER,MS,612,Main Draw,MARTINEZ Michel (FRA),ZHANG Dongying (BEL),MARTINEZ Michel
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,PETIOT Jeremy,DURANSPAHIC Admir,3,0,,R16,WTT_CONTENDER,MS,612,Main Draw,PETIOT Jeremy (FRA),DURANSPAHIC Admir (BIH),PETIOT Jeremy
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,RONNEBERG Espen,DEVOS Robin,3,0,,R16,WTT_CONTENDER,MS,612,Main Draw,RONNEBERG Espen (NOR),DEVOS Robin (BEL),RONNEBERG Espen
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,UTOCHKIN Artem,MOHLER Nicola,3,0,,R16,WTT_CONTENDER,MS,612,Main Draw,UTOCHKIN Artem (RUS),MOHLER Nicola (SUI),UTOCHKIN Artem
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,PHUNG Armand,JEAN Gregoire,3,0,,R16,WTT_CONTENDER,MS,612,Main Draw,PHUNG Armand (FRA),JEAN Gregoire (FRA),PHUNG Armand
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,OLLIVIER Brice,BUKIN Andrey,3,0,,R32,WTT_CONTENDER,MS,612,Main Draw,OLLIVIER Brice (FRA),BUKIN Andrey (RUS),OLLIVIER Brice
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,JEAN Lauric,SITAK Andriy,3,0,,R32,WTT_CONTENDER,MS,612,Main Draw,JEAN Lauric (BEL),SITAK Andriy (UKR),JEAN Lauric
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,WARE Mathew,MERCHEZ Cedric,3,0,,R32,WTT_CONTENDER,MS,612,Main Draw,WARE Mathew (ENG),MERCHEZ Cedric (BEL),WARE Mathew
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,DE BOER Michel,DJAZIRI Abdelhakim,3,0,,R32,WTT_CONTENDER,MS,612,Main Draw,DE BOER Michel (NED),DJAZIRI Abdelhakim (ALG),DE BOER Michel
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,YANG Min,BIERNY Ludovic,3,0,,R32,WTT_CONTENDER,MS,612,Main Draw,YANG Min (LUX),BIERNY Ludovic (BEL),YANG Min
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,CALUS Dorin,ANDERSSON Harald,3,0,,R32,WTT_CONTENDER,MS,612,Main Draw,CALUS Dorin (FRA),ANDERSSON Harald (SWE),CALUS Dorin
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,ZHANG Dongying,RAKOV Valerij,3,0,,R32,WTT_CONTENDER,MS,612,Main Draw,ZHANG Dongying (BEL),RAKOV Valerij (UKR),ZHANG Dongying
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,MARTINEZ Michel,INDEHERBERG Julien,3,0,,R32,WTT_CONTENDER,MS,612,Main Draw,MARTINEZ Michel (FRA),INDEHERBERG Julien (BEL),MARTINEZ Michel
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,DURANSPAHIC Admir,TER LUUN Casper,3,0,,R32,WTT_CONTENDER,MS,612,Main Draw,DURANSPAHIC Admir (BIH),TER LUUN Casper (NED),DURANSPAHIC Admir
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,PETIOT Jeremy,JANSSENS Tim,3,0,,R32,WTT_CONTENDER,MS,612,Main Draw,PETIOT Jeremy (FRA),JANSSENS Tim (BEL),PETIOT Jeremy
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,RONNEBERG Espen,ENGHIEN Lauren,3,0,,R32,WTT_CONTENDER,MS,612,Main Draw,RONNEBERG Espen (NOR),ENGHIEN Lauren (BEL),RONNEBERG Espen
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,DEVOS Robin,WIJERS Barry,3,0,,R32,WTT_CONTENDER,MS,612,Main Draw,DEVOS Robin (BEL),WIJERS Barry (NED),DEVOS Robin
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,UTOCHKIN Artem,DE VRIES Boris,3,0,,R32,WTT_CONTENDER,MS,612,Main Draw,UTOCHKIN Artem (RUS),DE VRIES Boris (NED),UTOCHKIN Artem
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,MOHLER Nicola,LAMOQUE Florent,3,0,,R32,WTT_CONTENDER,MS,612,Main Draw,MOHLER Nicola (SUI),LAMOQUE Florent (BEL),MOHLER Nicola
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,JEAN Gregoire,VITTA Kilomo,3,0,,R32,WTT_CONTENDER,MS,612,Main Draw,JEAN Gregoire (FRA),VITTA Kilomo (BEL),JEAN Gregoire
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,PHUNG Armand,BOURIAH Larbi,3,0,,R32,WTT_CONTENDER,MS,612,Main Draw,PHUNG Armand (FRA),BOURIAH Larbi (ALG),PHUNG Armand
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,BUKIN Andrey,FJELL Hallvard,3,0,,R64,WTT_CONTENDER,MS,612,Main Draw,BUKIN Andrey (RUS),FJELL Hallvard (NOR),BUKIN Andrey
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,SITAK Andriy,OURAHMOUNE Fatah,3,0,,R64,WTT_CONTENDER,MS,612,Main Draw,SITAK Andriy (UKR),OURAHMOUNE Fatah (ALG),SITAK Andriy
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,JEAN Lauric,DAIX Pol,3,0,,R64,WTT_CONTENDER,MS,612,Main Draw,JEAN Lauric (BEL),DAIX Pol (LUX),JEAN Lauric
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,MERCHEZ Cedric,LINDHOLM Eskil,3,0,,R64,WTT_CONTENDER,MS,612,Main Draw,MERCHEZ Cedric (BEL),LINDHOLM Eskil (NOR),MERCHEZ Cedric
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,WARE Mathew,NAVARRO Pere,3,0,,R64,WTT_CONTENDER,MS,612,Main Draw,WARE Mathew (ENG),NAVARRO Pere (ESP),WARE Mathew
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,DJAZIRI Abdelhakim,DE CLERCQ Robin,3,0,,R64,WTT_CONTENDER,MS,612,Main Draw,DJAZIRI Abdelhakim (ALG),DE CLERCQ Robin (BEL),DJAZIRI Abdelhakim
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,BIERNY Ludovic,KNOX Keith,3,0,,R64,WTT_CONTENDER,MS,612,Main Draw,BIERNY Ludovic (BEL),KNOX Keith (IRL),BIERNY Ludovic
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,ANDERSSON Harald,NICHOLLS Damien,3,0,,R64,WTT_CONTENDER,MS,612,Main Draw,ANDERSSON Harald (SWE),NICHOLLS Damien (ENG),ANDERSSON Harald
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,CALUS Dorin,DE BRUIN Merijn,3,0,,R64,WTT_CONTENDER,MS,612,Main Draw,CALUS Dorin (FRA),DE BRUIN Merijn (NED),CALUS Dorin
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,ZHANG Dongying,BERNER Eric,3,0,,R64,WTT_CONTENDER,MS,612,Main Draw,ZHANG Dongying (BEL),BERNER Eric (NOR),ZHANG Dongying
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,RAKOV Valerij,MESSATFA Lies,3,0,,R64,WTT_CONTENDER,MS,612,Main Draw,RAKOV Valerij (UKR),MESSATFA Lies (ALG),RAKOV Valerij
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,INDEHERBERG Julien,CHUNG Wai Lung,3,0,,R64,WTT_CONTENDER,MS,612,Main Draw,INDEHERBERG Julien (BEL),CHUNG Wai Lung (NED),INDEHERBERG Julien
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,TER LUUN Casper,MCCREERY Paul,3,0,,R64,WTT_CONTENDER,MS,612,Main Draw,TER LUUN Casper (NED),MCCREERY Paul (IRL),TER LUUN Casper
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,PETIOT Jeremy,GIRA Louis,3,0,,R64,WTT_CONTENDER,MS,612,Main Draw,PETIOT Jeremy (FRA),GIRA Louis (LUX),PETIOT Jeremy
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,JANSSENS Tim,SARSEMBAYEV Dias,3,0,,R64,WTT_CONTENDER,MS,612,Main Draw,JANSSENS Tim (BEL),SARSEMBAYEV Dias (KAZ),JANSSENS Tim
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,ENGHIEN Lauren,NOAH ESSOMBA Hubert,3,0,,R64,WTT_CONTENDER,MS,612,Main Draw,ENGHIEN Lauren (BEL),NOAH ESSOMBA Hubert (CMR),ENGHIEN Lauren
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,DEVOS Robin,DORAN Christopher,3,0,,R64,WTT_CONTENDER,MS,612,Main Draw,DEVOS Robin (BEL),DORAN Christopher (ENG),DEVOS Robin
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,DE VRIES Boris,TRAN Anthony,3,0,,R64,WTT_CONTENDER,MS,612,Main Draw,DE VRIES Boris (NED),TRAN Anthony (SWE),DE VRIES Boris
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,LAMOQUE Florent,RONNEBERG Lars,3,0,,R64,WTT_CONTENDER,MS,612,Main Draw,LAMOQUE Florent (BEL),RONNEBERG Lars (NOR),LAMOQUE Florent
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,MOHLER Nicola,PRADELLE Quentin,3,0,,R64,WTT_CONTENDER,MS,612,Main Draw,MOHLER Nicola (SUI),PRADELLE Quentin (FRA),MOHLER Nicola
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,JEAN Gregoire,SLIEPEN Daan,3,0,,R64,WTT_CONTENDER,MS,612,Main Draw,JEAN Gregoire (FRA),SLIEPEN Daan (NED),JEAN Gregoire
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,VITTA Kilomo,GLOD Eric,3,0,,R64,WTT_CONTENDER,MS,612,Main Draw,VITTA Kilomo (BEL),GLOD Eric (LUX),VITTA Kilomo
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,BOURIAH Larbi,HELLERUD Kristoffer,3,0,,R64,WTT_CONTENDER,MS,612,Main Draw,BOURIAH Larbi (ALG),HELLERUD Kristoffer (NOR),BOURIAH Larbi
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,LINDHOLM Eskil,SARSEMBAYEV Dias,3,0,,GROUP,WTT_CONTENDER,MS,612,Main Draw,LINDHOLM Eskil (NOR),SARSEMBAYEV Dias (KAZ),LINDHOLM Eskil
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,RONNEBERG Lars,MESSATFA Lies,3,0,,GROUP,WTT_CONTENDER,MS,612,Main Draw,RONNEBERG Lars (NOR),MESSATFA Lies (ALG),RONNEBERG Lars
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,MESSATFA Lies,LINDHOLM Eskil,3,0,,GROUP,WTT_CONTENDER,MS,612,Main Draw,MESSATFA Lies (ALG),LINDHOLM Eskil (NOR),MESSATFA Lies
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,RONNEBERG Lars,SARSEMBAYEV Dias,3,0,,GROUP,WTT_CONTENDER,MS,612,Main Draw,RONNEBERG Lars (NOR),SARSEMBAYEV Dias (KAZ),RONNEBERG Lars
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,LINDHOLM Eskil,DAIX Pol,3,0,,GROUP,WTT_CONTENDER,MS,612,Main Draw,LINDHOLM Eskil (NOR),DAIX Pol (LUX),LINDHOLM Eskil
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,MESSATFA Lies,NICHOLLS Damien,3,0,,GROUP,WTT_CONTENDER,MS,612,Main Draw,MESSATFA Lies (ALG),NICHOLLS Damien (ENG),MESSATFA Lies
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,RONNEBERG Lars,GLOD Eric,3,0,,GROUP,WTT_CONTENDER,MS,612,Main Draw,RONNEBERG Lars (NOR),GLOD Eric (LUX),RONNEBERG Lars
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,DE CLERCQ Robin,GIRA Louis,3,0,,GROUP,WTT_CONTENDER,MS,612,Main Draw,DE CLERCQ Robin (BEL),GIRA Louis (LUX),DE CLERCQ Robin
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,DE CLERCQ Robin,ENGHIEN Lauren,3,0,,GROUP,WTT_CONTENDER,MS,612,Main Draw,DE CLERCQ Robin (BEL),ENGHIEN Lauren (BEL),DE CLERCQ Robin
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,NOAH ESSOMBA Hubert,FJELL Hallvard,3,0,,GROUP,WTT_CONTENDER,MS,612,Main Draw,NOAH ESSOMBA Hubert (CMR),FJELL Hallvard (NOR),NOAH ESSOMBA Hubert
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,SITAK Andriy,TER LUUN Casper,3,0,,GROUP,WTT_CONTENDER,MS,612,Main Draw,SITAK Andriy (UKR),TER LUUN Casper (NED),SITAK Andriy
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,TER LUUN Casper,FJELL Hallvard,3,0,,GROUP,WTT_CONTENDER,MS,612,Main Draw,TER LUUN Casper (NED),FJELL Hallvard (NOR),TER LUUN Casper
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,SITAK Andriy,NOAH ESSOMBA Hubert,3,0,,GROUP,WTT_CONTENDER,MS,612,Main Draw,SITAK Andriy (UKR),NOAH ESSOMBA Hubert (CMR),SITAK Andriy
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,FJELL Hallvard,DE CLERCQ Robin,3,0,,GROUP,WTT_CONTENDER,MS,612,Main Draw,FJELL Hallvard (NOR),DE CLERCQ Robin (BEL),FJELL Hallvard
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,TER LUUN Casper,ENGHIEN Lauren,3,0,,GROUP,WTT_CONTENDER,MS,612,Main Draw,TER LUUN Casper (NED),ENGHIEN Lauren (BEL),TER LUUN Casper
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,NOAH ESSOMBA Hubert,GIRA Louis,3,0,,GROUP,WTT_CONTENDER,MS,612,Main Draw,NOAH ESSOMBA Hubert (CMR),GIRA Louis (LUX),NOAH ESSOMBA Hubert
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,KNOX Keith,PRADELLE Quentin,3,0,,GROUP,WTT_CONTENDER,MS,612,Main Draw,KNOX Keith (IRL),PRADELLE Quentin (FRA),KNOX Keith
8th Flanders Open Belgium TT Championships VilvoordeBrussels 2010,2010-09-03,VITTA Kilomo,INDEHERBERG Julien,3,0,,GROUP,WTT_CONTENDER,MS,612,Main Draw,VITTA Kilomo (BEL),INDEHERBERG Julien (BEL),VITTA Kilomo
