tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
WTT Feeder Spokane 2025,2025-08-05,WU Yiran,AVERIN Alex,3,0,"11,11,11|5,4,8",GROUP,WTT_FEEDER,MS,3177,Main Draw,WU Yiran (USA),AVERIN Alex (USA)
WTT Feeder Spokane 2025,2025-08-05,XU Kaden,JIA Jaden,3,0,"11,11,11|2,2,3",GROUP,WTT_FEEDER,MS,3177,Main Draw,XU Kaden (USA),JIA Jaden (USA)
WTT Feeder Spokane 2025,2025-08-05,HAN Doyun,MORAGA Victor,3,0,"11,11,11|6,6,5",GROUP,WTT_FEEDER,MS,3177,Main Draw,HAN Doyun (KOR),MORAGA Victor (USA)
WTT Feeder Spokane 2025,2025-08-05,IGARASHI Fumiya,LEIBOVITZ Tahl,3,1,"11,11,7,11|5,4,11,6",GROUP,WTT_FEEDER,MS,3177,Main Draw,IGARASHI Fumiya (JPN),LEIBOVITZ Tahl (USA)
WTT Feeder Spokane 2025,2025-08-05,KIM Byunghyeon,JANG Minhyeok,3,2,"11,10,11,8,17|9,12,7,11,15",GROUP,WTT_FEEDER,MS,3177,Main Draw,KIM Byunghyeon (KOR),JANG Minhyeok (KOR)
WTT Feeder Spokane 2025,2025-08-05,AVERIN Alex,JIA Jaden,3,0,"12,11,11|10,8,6",GROUP,WTT_FEEDER,MS,3177,Main Draw,AVERIN Alex (USA),JIA Jaden (USA)
WTT Feeder Spokane 2025,2025-08-05,XU Kaden,WU Yiran,3,1,"11,5,11,11|8,11,6,3",GROUP,WTT_FEEDER,MS,3177,Main Draw,XU Kaden (USA),WU Yiran (USA)
WTT Feeder Spokane 2025,2025-08-05,IGARASHI Fumiya,LEE Hoyun,3,2,"11,11,7,4,11|6,7,11,11,2",GROUP,WTT_FEEDER,MS,3177,Main Draw,IGARASHI Fumiya (JPN),LEE Hoyun (KOR)
WTT Feeder Spokane 2025,2025-08-05,CHOI Hojun,HAN Doyun,3,2,"11,11,6,8,11|6,7,11,11,8",GROUP,WTT_FEEDER,MS,3177,Main Draw,CHOI Hojun (KOR),HAN Doyun (KOR)
WTT Feeder Spokane 2025,2025-08-05,KIM Taehyun,JANG Minhyeok,3,0,"11,11,11|6,5,7",GROUP,WTT_FEEDER,MS,3177,Main Draw,KIM Taehyun (MLT),JANG Minhyeok (KOR)
WTT Feeder Spokane 2025,2025-08-05,WU Yiran,JIA Jaden,3,1,"11,8,11,14|4,11,6,12",GROUP,WTT_FEEDER,MS,3177,Main Draw,WU Yiran (USA),JIA Jaden (USA)
WTT Feeder Spokane 2025,2025-08-05,XU Kaden,AVERIN Alex,3,0,"11,11,11|7,5,6",GROUP,WTT_FEEDER,MS,3177,Main Draw,XU Kaden (USA),AVERIN Alex (USA)
WTT Feeder Spokane 2025,2025-08-05,KIM Taehyun,KIM Byunghyeon,3,1,"7,15,11,18|11,13,9,16",GROUP,WTT_FEEDER,MS,3177,Main Draw,KIM Taehyun (MLT),KIM Byunghyeon (KOR)
WTT Feeder Spokane 2025,2025-08-05,LEE Hoyun,LEIBOVITZ Tahl,3,2,"10,11,10,11,11|12,9,12,8,5",GROUP,WTT_FEEDER,MS,3177,Main Draw,LEE Hoyun (KOR),LEIBOVITZ Tahl (USA)
WTT Feeder Spokane 2025,2025-08-05,CHOI Hojun,MORAGA Victor,3,0,"11,11,11|4,3,9",GROUP,WTT_FEEDER,MS,3177,Main Draw,CHOI Hojun (KOR),MORAGA Victor (USA)
WTT Feeder Spokane 2025,2025-08-06,MENGEL Steffen,KANG Dongsoo,3,2,"13,7,15,10,11|11,11,13,12,6",R32,WTT_FEEDER,MS,3177,Main Draw,MENGEL Steffen (GER),KANG Dongsoo (KOR)
WTT Feeder Spokane 2025,2025-08-06,MA Jinbao,KIM Taehyun,3,2,"12,11,8,11,11|14,3,11,9,7",R32,WTT_FEEDER,MS,3177,Main Draw,MA Jinbao (USA),KIM Taehyun (MLT)
WTT Feeder Spokane 2025,2025-08-06,PARK Ganghyeon,GIL Minseok,3,1,"11,11,10,11|8,6,12,7",R32,WTT_FEEDER,MS,3177,Main Draw,PARK Ganghyeon (KOR),GIL Minseok (KOR)
WTT Feeder Spokane 2025,2025-08-06,NUYTINCK Cedric,PICARD Vincent,3,1,"11,5,11,13|6,11,4,11",R32,WTT_FEEDER,MS,3177,Main Draw,NUYTINCK Cedric (BEL),PICARD Vincent (FRA)
WTT Feeder Spokane 2025,2025-08-06,HAUG Borgar,LIN Xuqi,3,1,"11,11,9,12|6,8,11,10",R32,WTT_FEEDER,MS,3177,Main Draw,HAUG Borgar (NOR),LIN Xuqi (AUS)
WTT Feeder Spokane 2025,2025-08-06,WU Yiran,LEVENKO Andreas,3,2,"11,6,4,11,11|7,11,11,3,8",R32,WTT_FEEDER,MS,3177,Main Draw,WU Yiran (USA),LEVENKO Andreas (AUT)
WTT Feeder Spokane 2025,2025-08-06,DE NODREST Leo,KIM Byunghyeon,3,1,"11,11,9,11|5,5,11,8",R32,WTT_FEEDER,MS,3177,Main Draw,DE NODREST Leo (FRA),KIM Byunghyeon (KOR)
WTT Feeder Spokane 2025,2025-08-06,NARESH Nandan,CHOI Jiwook,3,1,"11,8,11,11|6,11,5,9",R32,WTT_FEEDER,MS,3177,Main Draw,NARESH Nandan (USA),CHOI Jiwook (KOR)
WTT Feeder Spokane 2025,2025-08-06,KOURAICHI Alexis,NARESH Sid,3,1,"11,12,9,11|7,10,11,8",R32,WTT_FEEDER,MS,3177,Main Draw,KOURAICHI Alexis (FRA),NARESH Sid (USA)
WTT Feeder Spokane 2025,2025-08-06,LY Edward,CHOI Timothy,3,1,"8,11,11,11|11,8,9,8",R32,WTT_FEEDER,MS,3177,Main Draw,LY Edward (CAN),CHOI Timothy (NZL)
